id,title,island,locality,area,price,beds,size,floor,date
,"Flat / Apartment in calle Nivaria, 5, Villa Ascensión-El Perú-Cruz del Señor, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,190000,2,80,2,2020-09-15
,"Flat / Apartment in calle Nivaria, 5, Villa Ascensión-El Perú-Cruz del Señor, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,198000,2,80,1,2020-09-15
,"Flat / Apartment in El burgado, NN, Longuera-Toscal, Los Realejos",Mallorca,Los Realejos,Longuera-Toscal,145000,1,58,2,2020-09-15
,"Penthouse in calle Meandro, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,180000,1,92,2,2020-09-15
,"Flat / Apartment in calle Morro del Salon, 1, El Fraile, Arona",Mallorca,Arona,El Fraile,89000,2,80,3,2020-09-15
,"Penthouse in Rodeo, 9, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,199000,2,77,2,2020-09-15
,"Penthouse in calle Doña Julia Trujillo, 10, Alcalá, Guia de Isora",Mallorca,Guia de Isora,Alcalá,174000,3,200,2,2020-09-15
,"Penthouse in calle Doña Julia Trujillo, 10, Alcalá, Guia de Isora",Mallorca,Guia de Isora,Alcalá,157800,2,100,2,2020-09-15
,"Flat / Apartment in calle Rodeo, 9, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,182000,2,90,1,2020-09-15
,"Flat / Apartment in LA HONDURA, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,195000,2,130,2,2020-09-15
,"Flat / Apartment in calle alemania, NN, Torviscas Centro y Alto, Adeje",Mallorca,Adeje,Torviscas Centro y Alto,158000,1,60,Mezzanine,2020-09-15
,"Flat / Apartment in CALL BENCHIJIGUA, San Isidro, Granadilla de Abona",Mallorca,Granadilla de Abona,San Isidro,130000,3,93,3,2020-09-15
,"Flat / Apartment in calle Taunus, 38001, 12, Las Caletillas-Punta Larga, Candelaria",Mallorca,Candelaria,Las Caletillas-Punta Larga,113500,1,49,1,2020-09-15
,"Flat / Apartment in calle Perez Zamora, 56, Distrito Playa Jardín, Puerto de la Cruz",Mallorca,Puerto de la Cruz,Distrito Playa Jardín,170000,2,82,6,2020-09-15
,"Penthouse in calle Artemi, NN, Acorán, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Acorán,195000,2,114,4,2020-09-15
,"Flat / Apartment in Cuesta de la Villa, Santa Ursula",Mallorca,Santa Ursula,Cuesta de la Villa,194000,2,84,1,2020-09-15
,"Flat / Apartment in santa catalina de siena, La Cuesta, San Cristóbal de la Laguna",Mallorca,San Cristóbal de la Laguna,La Cuesta,69500,4,92,1,2020-09-15
,"Penthouse in calle el Bermeano, 2, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,185000,1,65,2,2020-09-15
,"Flat / Apartment in calle Portugal, 7, Radazul, El Rosario",Mallorca,El Rosario,Radazul,147500,3,101,2,2020-09-15
,"Penthouse in RAFAEL ALBERTI, Guargacho, San Miguel de Abona",Mallorca,San Miguel de Abona,Guargacho,198000,3,220,3,2020-09-15
,"Flat / Apartment in calle BENCHIJIGUA, 19, San Isidro, Granadilla de Abona",Mallorca,Granadilla de Abona,San Isidro,130000,2,76,3,2020-09-15
,"Flat / Apartment in calle el Sedal, 7, Los Abrigos, Granadilla de Abona",Mallorca,Granadilla de Abona,Los Abrigos,102299,2,72,1,2020-09-15
,"Penthouse in avenida Fundador Gonzalo González, 30, Granadilla, Granadilla de Abona",Mallorca,Granadilla de Abona,Granadilla,149000,3,90,4,2020-09-15
,"Flat / Apartment in calle La Vica, NN, César Casariego-Santa Clara-Nuevo Obrero, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,César Casariego-Santa Clara-Nuevo Obrero,110000,2,93,5,2020-09-15
,"Flat / Apartment in calle Mencey Adeje, 5, Las Chafiras, San Miguel de Abona",Mallorca,San Miguel de Abona,Las Chafiras,128000,1,60,2,2020-09-15
,"Flat / Apartment in calle Luján Pérez, NN, Casco Urbano, Adeje",Mallorca,Adeje,Casco Urbano,154000,3,89,3,2020-09-15
,"Flat / Apartment in avenida de La Constitución, 45, Casco Urbano, Adeje",Mallorca,Adeje,Casco Urbano,169900,3,80,3,2020-09-15
,"Flat / Apartment in calle el jable, Callao Salvaje - Playa Paraíso, Adeje",Mallorca,Adeje,Callao Salvaje - Playa Paraíso,168000,1,67,1,2020-09-15
,"Flat / Apartment in calle Real, 106, La Matanza de Acentejo",Mallorca,La Matanza de Acentejo,106,95000,2,64,1,2020-09-15
,"Flat / Apartment in calle Nivaria, 5, Villa Ascensión-El Perú-Cruz del Señor, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,195000,2,80,3,2020-09-15
,"Flat / Apartment in calle Nivaria, 5, Villa Ascensión-El Perú-Cruz del Señor, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,190000,2,80,2,2020-09-15
,"Flat / Apartment in calle Nivaria, 5, Villa Ascensión-El Perú-Cruz del Señor, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,198000,2,80,1,2020-09-15
,"Flat / Apartment in El burgado, NN, Longuera-Toscal, Los Realejos",Mallorca,Los Realejos,Longuera-Toscal,145000,1,58,2,2020-09-15
,"Penthouse in calle Meandro, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,180000,1,92,2,2020-09-15
,"Flat / Apartment in calle Morro del Salon, 1, El Fraile, Arona",Mallorca,Arona,El Fraile,89000,2,80,3,2020-09-15
,"Penthouse in Rodeo, 9, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,199000,2,77,2,2020-09-15
,"Penthouse in calle Doña Julia Trujillo, 10, Alcalá, Guia de Isora",Mallorca,Guia de Isora,Alcalá,174000,3,200,2,2020-09-15
,"Penthouse in calle Doña Julia Trujillo, 10, Alcalá, Guia de Isora",Mallorca,Guia de Isora,Alcalá,157800,2,100,2,2020-09-15
,"Flat / Apartment in calle Rodeo, 9, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,182000,2,90,1,2020-09-15
,"Flat / Apartment in LA HONDURA, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,195000,2,130,2,2020-09-15
,"Flat / Apartment in calle alemania, NN, Torviscas Centro y Alto, Adeje",Mallorca,Adeje,Torviscas Centro y Alto,158000,1,60,Mezzanine,2020-09-15
,"Flat / Apartment in CALL BENCHIJIGUA, San Isidro, Granadilla de Abona",Mallorca,Granadilla de Abona,San Isidro,130000,3,93,3,2020-09-15
,"Flat / Apartment in calle Rigoberta Menchú, 6, La Perdoma - San Antonio - Benijos, La Orotava",Mallorca,La Orotava,La Perdoma - San Antonio - Benijos,150000,3,110,2,2020-09-15
,"Flat / Apartment in paseo Arecas, 1, Las Rosas, Arona",Mallorca,Arona,Las Rosas,145000,3,100,2,2020-09-15
,"Flat / Apartment in Aceviño, 21, Distrito Botánico, Puerto de la Cruz",Mallorca,Puerto de la Cruz,Distrito Botánico,138000,1,57,2,2020-09-15
,"Flat / Apartment in calle San Juan, 54, Centro, Güimar",Mallorca,Güimar,Centro,185000,3,104,1,2020-09-15
,"Flat / Apartment in avenida ISLA CANARIAS, 105, Villa Ascensión-El Perú-Cruz del Señor, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,160000,3,91,1,2020-09-15
,"Flat / Apartment in camino el vallado, 73, La Laguna, San Cristóbal de la Laguna",Mallorca,San Cristóbal de la Laguna,La Laguna,142000,3,110,1,2020-09-15
,"Flat / Apartment in calle Adán Martín Menis, 3, Los Llanos-El Cabo, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Los Llanos-El Cabo,199000,1,45,30,2020-09-15
,"Flat / Apartment in calle Eneas, Costa del Silencio-Las Galletas, Arona",Mallorca,Arona,Costa del Silencio-Las Galletas,175000,2,72,1,2020-09-15
,"Flat / Apartment in calle Ramon Pino, 20, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,122900,2,65,1,2020-09-15
,"Flat / Apartment in avenida Arquitecto Gómez Cuesta, Playa de las Américas, Arona",Mallorca,Arona,Playa de las Américas,198000,1,66,3,2020-09-15
,"Duplex in calle el Parral, 6, Valle San Lorenzo, Arona",Mallorca,Arona,Valle San Lorenzo,189000,3,245,1,2020-09-15
,"Flat / Apartment in Distrito Botánico, Puerto de la Cruz",Mallorca,Puerto de la Cruz,Distrito Botánico,130000,1,54,4,2020-09-15
,"Flat / Apartment in San Isidro, Granadilla de Abona",Mallorca,Granadilla de Abona,San Isidro,125000,3,87,2,2020-09-15
,"Flat / Apartment in calle Juan Pedro Dávila García, 2, Villa Ascensión-El Perú-Cruz del Señor, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,180000,3,81,3,2020-09-15
,"Flat / Apartment in calle Briffard, 11, Anaga, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Anaga,165000,4,133,1,2020-09-15
,"Flat / Apartment in calle Barrio Nuevo, 10, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,195000,3,140,3,2020-09-15
,"Flat / Apartment in Tajinaste, Tabaiba, El Rosario",Mallorca,El Rosario,Tabaiba,129900,3,88,2,2020-09-15
,"Flat / Apartment in calle Ramon Pino, 20, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,122900,2,65,1,2020-09-15
,"Penthouse in calle José González González, 1, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,135000,1,64,4,2020-09-15
,"Penthouse in calle Doña Julia Trujillo, 10, Alcalá, Guia de Isora",Mallorca,Guia de Isora,Alcalá,174000,3,200,2,2020-09-15
,"Penthouse in calle Doña Julia Trujillo, 10, Alcalá, Guia de Isora",Mallorca,Guia de Isora,Alcalá,157800,3,130,2,2020-09-15
,"Penthouse in avenida Chasna, Granadilla, Granadilla de Abona",Mallorca,Granadilla de Abona,Granadilla,84200,1,42,2,2020-09-15
,"Flat / Apartment in avenida Quinto Centenario, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,140000,1,57,1,2020-09-15
,"Flat / Apartment in General Serrano, Los Hoteles-Rambla-Duggi, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Los Hoteles-Rambla-Duggi,165000,1,127,2,2020-09-15
,"Flat / Apartment in calle Hercules, Costa del Silencio-Las Galletas, Arona",Mallorca,Arona,Costa del Silencio-Las Galletas,156450,2,61,2,2020-09-15
,"Flat / Apartment in calle La Marina, Los Abrigos, Granadilla de Abona",Mallorca,Granadilla de Abona,Los Abrigos,136500,2,61,2,2020-09-15
,"Flat / Apartment in calle alcalde juan garcía dorta, 4, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,179000,1,68,3,2020-09-15
,"Flat / Apartment in calle LAS GALGAS RESIDENCIAL SOL PARAISO, 514, Callao Salvaje - Playa Paraíso, Adeje",Mallorca,Adeje,Callao Salvaje - Playa Paraíso,178000,2,74,5,2020-09-15
,"Flat / Apartment in el morro, NN, Chayofa, Arona",Mallorca,Arona,Chayofa,155000,1,74,1,2020-09-15
,"Flat / Apartment in calle la Hondura, 28, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,156000,1,67,3,2020-09-15
,"Duplex in Parque La Reina, Cho-Guaza, Arona",Mallorca,Arona,Cho-Guaza,185000,3,99,1,2020-09-15
,"Flat / Apartment in calle la Hondura, 22, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,140000,1,68,2,2020-09-15
,"Flat / Apartment in Juan Sebastian el Cano, Radazul, El Rosario",Mallorca,El Rosario,Radazul,200000,2,83,4,2020-09-15
,"Flat / Apartment in calle Perez Zamora, 56, Distrito Playa Jardín, Puerto de la Cruz",Mallorca,Puerto de la Cruz,Distrito Playa Jardín,179900,2,120,3,2020-09-15
,"Duplex in distrito suroeste, 1, El Sobradillo, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,El Sobradillo,130000,4,90,2,2020-09-15
,"Flat / Apartment in Benavides, 25, Los Hoteles-Rambla-Duggi, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Los Hoteles-Rambla-Duggi,95000,2,55,2,2020-09-15
,"Flat / Apartment in avenida Reyes Catolicos, 31, La Salle, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,La Salle,165000,2,62,10,2020-09-15
,"Flat / Apartment in JUAN PEREZ, Casco Urbano, Adeje",Mallorca,Adeje,Casco Urbano,168000,3,98,2,2020-09-15
,"Flat / Apartment in calle islas canarias, 21, La Perdoma - San Antonio - Benijos, La Orotava",Mallorca,La Orotava,La Perdoma - San Antonio - Benijos,155000,2,78,8,2020-09-15
,"Flat / Apartment in plaza Jhon Huygen, 8, Costa del Silencio-Las Galletas, Arona",Mallorca,Arona,Costa del Silencio-Las Galletas,190000,3,95,2,2020-09-15
,"Flat / Apartment in calle la Hondura, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,145000,1,67,3,2020-09-15
,"Flat / Apartment in calle Juan Sebastian Elcano, Radazul, El Rosario",Mallorca,El Rosario,Radazul,200000,2,83,4,2020-09-15
,"Flat / Apartment in callejón La Herradura, La Laguna, San Cristóbal de la Laguna",Mallorca,San Cristóbal de la Laguna,La Laguna,170000,1,76,1,2020-09-15
,"Flat / Apartment in Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,160000,3,100,1,2020-09-15
,"Flat / Apartment in Casco Urbano, Adeje",Mallorca,Adeje,Casco Urbano,168000,3,98,2,2020-09-15
,"Flat / Apartment in Tacoronte - Los Naranjeros, Tacoronte",Mallorca,Tacoronte,Tacoronte - Los Naranjeros,135000,2,70,1,2020-09-15
,"Flat / Apartment in Las Chafiras, San Miguel de Abona",Mallorca,San Miguel de Abona,Las Chafiras,110000,2,84,1,2020-09-15
,"Flat / Apartment in Playa de las Américas, Adeje",Mallorca,Adeje,Playa de las Américas,159000,1,65,8,2020-09-15
,"Flat / Apartment in calle Inglaterra, Tabaiba, El Rosario",Mallorca,El Rosario,Tabaiba,157000,2,87,Mezzanine,2020-09-15
,"Flat / Apartment in avenida Adeje 300, 10, Callao Salvaje - Playa Paraíso, Adeje",Mallorca,Adeje,Callao Salvaje - Playa Paraíso,179900,2,58,15,2020-09-15
,"Flat / Apartment in calle Rubens Marichal Lopez, Ifara-Las Mimosas, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Ifara-Las Mimosas,197000,4,125,3,2020-09-15
,"Flat / Apartment in avenida JUAN CARLOS 1º, 37, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,175000,1,47,2,2020-09-15
,"Flat / Apartment in calle nicaragua, 3, Buzanada, Arona",Mallorca,Arona,Buzanada,140000,3,103,2,2020-09-15
,"Duplex in avenida Familia de Betancourt y Molina, Distrito Martiánez, Puerto de la Cruz",Mallorca,Puerto de la Cruz,Distrito Martiánez,180000,1,75,2,2020-09-15
,"Flat / Apartment in calle honduras, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,197000,2,90,3,2020-09-15
,"Flat / Apartment in calle Rubens Marichal López, Ifara-Las Mimosas, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Ifara-Las Mimosas,175000,2,75,3,2020-09-15
,"Flat / Apartment in calle Verode, NN, San Isidro, Granadilla de Abona",Mallorca,Granadilla de Abona,San Isidro,100000,3,69,3,2020-09-15
,"Flat / Apartment in Acantilados de Los Gigantes, Santiago del Teide",Mallorca,Santiago del Teide,Acantilados de Los Gigantes,189000,2,80,1,2020-09-15
,"Duplex in calle abinque 24, 25, Casco Urbano, Adeje",Mallorca,Adeje,Casco Urbano,160000,2,75,2,2020-09-15
,"Flat / Apartment in Av. Juan Carlos I, 40, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,175000,1,65,2,2020-09-15
,"Flat / Apartment in avenida de Bruselas, 2, Playa de Fañabé, Adeje",Mallorca,Adeje,Playa de Fañabé,170000,1,51,1,2020-09-15
,"Flat / Apartment in Jilguero, NN, Palm Mar, Arona",Mallorca,Arona,Palm Mar,151000,1,70,1,2020-09-15
,"Penthouse in camino de las Mantecas, 38, La Cuesta, San Cristóbal de la Laguna",Mallorca,San Cristóbal de la Laguna,La Cuesta,191643,3,95,1,2020-09-15
,"Flat / Apartment in calle la Ballena, Los Abrigos, Granadilla de Abona",Mallorca,Granadilla de Abona,Los Abrigos,110000,2,75,2,2020-09-15
,"Flat / Apartment in La Vega-El Amparo-Cueva del Viento, Icod de los Vinos",Mallorca,Icod de los Vinos,La Vega-El Amparo-Cueva del Viento,169000,3,240,1,2020-09-15
,"Flat / Apartment in calle Heliodoro Rodríguez López, La Salle, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,La Salle,170000,3,80,3,2020-09-15
,"Flat / Apartment in Distrito Playa Jardín, Puerto de la Cruz",Mallorca,Puerto de la Cruz,Distrito Playa Jardín,152000,1,63,7,2020-09-15
,"Flat / Apartment in calle Decano Consular Jesus Ramos González, 12, Añaza, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Añaza,95000,3,86,3,2020-09-15
,"Flat / Apartment in carretera puerto de santiago, 21, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,126000,1,70,3,2020-09-15
,"Flat / Apartment in calle Nieves Ravelo, 30, Distrito Playa Jardín, Puerto de la Cruz",Mallorca,Puerto de la Cruz,Distrito Playa Jardín,160000,1,64,5,2020-09-15
,"Flat / Apartment in calle Perez Zamora, 56, Distrito Playa Jardín, Puerto de la Cruz",Mallorca,Puerto de la Cruz,Distrito Playa Jardín,179900,2,120,3,2020-09-15
,"Flat / Apartment in calle Ramujo, 6, Cabo Blanco, Arona",Mallorca,Arona,Cabo Blanco,130000,3,100,1,2020-09-15
,"Penthouse in calle el Parlamento, 16, San Isidro, Granadilla de Abona",Mallorca,Granadilla de Abona,San Isidro,139900,3,93,2,2020-09-15
,"Flat / Apartment in avenida Marítima Puerto de Santiago, 25, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,149500,1,57,2,2020-09-15
,"Penthouse in calle Domingo Pisaca Burgada, 4, Vistabella-Villa Benítez-Ballester, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Vistabella-Villa Benítez-Ballester,128000,3,150,3,2020-09-15
,"Flat / Apartment in calle Noelia Afonso Cabrera, 6, Playa de las Américas, Arona",Mallorca,Arona,Playa de las Américas,195000,1,50,3,2020-09-15
,"Flat / Apartment in Costa del Silencio-Las Galletas, Arona",Mallorca,Arona,Costa del Silencio-Las Galletas,130000,1,52,3,2020-09-15
,"Flat / Apartment in azorin, San Isidro, Granadilla de Abona",Mallorca,Granadilla de Abona,San Isidro,126500,3,98,2,2020-09-15
,"Flat / Apartment in Los Abrigos, Granadilla de Abona",Mallorca,Granadilla de Abona,Los Abrigos,185000,1,55,1,2020-09-15
,"Flat / Apartment in Playa de las Américas, Adeje",Mallorca,Adeje,Playa de las Américas,192000,1,50,1,2020-09-15
,"Penthouse in calle OBISPO PEREZ CACERES, San Isidro, Granadilla de Abona",Mallorca,Granadilla de Abona,San Isidro,116000,2,67,2,2020-09-15
,"Flat / Apartment in benito Pérez Galdós guargacho, 11, Guargacho, San Miguel de Abona",Mallorca,San Miguel de Abona,Guargacho,103950,1,50,2,2020-09-15
,"Flat / Apartment in calle los Llanos Seis, 5, Los Llanos-El Cabo, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Los Llanos-El Cabo,170000,1,50,13,2020-09-15
,"Flat / Apartment in Rodeo, 10, Los Cristianos, Arona",Mallorca,Arona,Los Cristianos,199000,2,90,2,2020-09-15
,"Flat / Apartment in de el calamar, NN, Los Abrigos, Granadilla de Abona",Mallorca,Granadilla de Abona,Los Abrigos,126000,2,90,2,2020-09-15
,"Flat / Apartment in calle trasera s.blas, Golf del Sur-Amarilla Golf, San Miguel de Abona",Mallorca,San Miguel de Abona,Golf del Sur-Amarilla Golf,169000,1,65,1,2020-09-15
,"Flat / Apartment in Balcon de Los Gigantes, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,195000,2,75,2,2020-09-15
,"Flat / Apartment in Av. Austria, San Eugenio Alto, Adeje",Mallorca,Adeje,San Eugenio Alto,139500,1,66,1,2020-09-15
,"Flat / Apartment in Los Abrigos, Granadilla de Abona",Mallorca,Granadilla de Abona,Los Abrigos,115000,2,71,2,2020-09-15
,"Flat / Apartment in Distrito Botánico, Puerto de la Cruz",Mallorca,Puerto de la Cruz,Distrito Botánico,195000,1,147,1,2020-09-15
,"Penthouse in Las Chafiras, San Miguel de Abona",Mallorca,San Miguel de Abona,Las Chafiras,150000,2,95,2,2020-09-15
,"Flat / Apartment in Guargacho, San Miguel de Abona",Mallorca,San Miguel de Abona,Guargacho,103000,2,75,2,2020-09-15
,"Flat / Apartment in Costa del Silencio-Las Galletas, Arona",Mallorca,Arona,Costa del Silencio-Las Galletas,149000,2,72,1,2020-09-15
,"Flat / Apartment in Los Abrigos, Granadilla de Abona",Mallorca,Granadilla de Abona,Los Abrigos,157500,2,80,1,2020-09-15
,"Flat / Apartment in Torviscas Bajo, Adeje",Mallorca,Adeje,Torviscas Bajo,160000,1,45,2,2020-09-15
,"Flat / Apartment in calle Arguayoda, 10, San Isidro, Granadilla de Abona",Mallorca,Granadilla de Abona,San Isidro,84990,1,60,2,2020-09-15
,"Flat / Apartment in calle Calvo Sotelo, Salamanca-Uruguay, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Salamanca-Uruguay,150000,1,80,1,2020-09-15
,"Flat / Apartment in calle Tinguafaya, 90, Chayofa, Arona",Mallorca,Arona,Chayofa,170000,2,105,1,2020-09-15
,"Flat / Apartment in rambla Añaza, 8, Añaza, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Añaza,128000,2,111,5,2020-09-15
,"Flat / Apartment in avenida Emigrante, 27, Playa San Juan, Guia de Isora",Mallorca,Guia de Isora,Playa San Juan,146000,2,70,2,2020-09-15
,Flat / Apartment in San Miguel de Abona,Mallorca,San Miguel de Abona,,116500,2,84,1,2020-09-15
,"Flat / Apartment in calle El Cantaro, Granadilla, Granadilla de Abona",Mallorca,Granadilla de Abona,Granadilla,118000,3,97,5,2020-09-15
,"Flat / Apartment in calle Montana Pardela, 10, El Fraile, Arona",Mallorca,Arona,El Fraile,89999,2,59,2,2020-09-15
,"Flat / Apartment in avenida Daniel Feo Feo, 40, Las Chafiras, San Miguel de Abona",Mallorca,San Miguel de Abona,Las Chafiras,130000,2,76,1,2020-09-15
,"Flat / Apartment in calle Arozarena, 6, Granadilla, Granadilla de Abona",Mallorca,Granadilla de Abona,Granadilla,120000,2,73,2,2020-09-15
,"Flat / Apartment in calle Verodes, 35, Tabaiba, El Rosario",Mallorca,El Rosario,Tabaiba,125000,2,88,2,2020-09-15
,"Flat / Apartment in calle Verodes, 39, Tabaiba, El Rosario",Mallorca,El Rosario,Tabaiba,125000,2,88,2,2020-09-15
,"Flat / Apartment in calle de Benito Pérez Galdós, 11, San Isidro, Granadilla de Abona",Mallorca,Granadilla de Abona,San Isidro,100500,2,83,1,2020-09-15
,"Flat / Apartment in Las Chafiras, San Miguel de Abona",Mallorca,San Miguel de Abona,Las Chafiras,130000,2,71,1,2020-09-15
,"Flat / Apartment in calle Jilguero, 7, Palm Mar, Arona",Mallorca,Arona,Palm Mar,140000,1,80,3,2020-09-15
,"Flat / Apartment in San Fernando, Puerto de la Cruz",Mallorca,Puerto de la Cruz,San Fernando,159000,1,70,1,2020-09-15
,"Penthouse in Distrito San Antonio - Las Arenas, Puerto de la Cruz",Mallorca,Puerto de la Cruz,Distrito San Antonio - Las Arenas,190000,2,147,1,2020-09-15
,"Flat / Apartment in calle Diario de Avisos, 1, San Eugenio Alto, Adeje",Mallorca,Adeje,San Eugenio Alto,195000,1,89,1,2020-09-15
,"Flat / Apartment in avenida Quinto Centenario, 28, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,150000,2,70,1,2020-09-15
,Flat / Apartment in Candelaria,Mallorca,Candelaria,,150000,2,80,1,2020-09-15
