area,beds,date,floor,island,locality,price,size,title
La Isleta,2,2020-09-15,1,Mallorca,Las Palmas de Gran Canaria,105000,50,"Flat / Apartment in calle Benartemi, 33, La Isleta, Las Palmas de Gran Canaria"
La Isleta,2,2020-09-15,1,Mallorca,Las Palmas de Gran Canaria,105000,50,"Flat / Apartment in calle Benartemi, 33, La Isleta, Las Palmas de Gran Canaria"
El Tablero,3,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,185000,81,"Flat / Apartment in Sao Paulo, 3, El Tablero, San Bartolomé de Tirajana"
Vecindario norte-Cruce Sardina,3,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,114000,88,"Flat / Apartment in calle Adargoma, 21, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Playa del Inglés,2,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,189000,70,"Flat / Apartment in avenida Tirajana, 9, Playa del Inglés, San Bartolomé de Tirajana"
3,3,2020-09-15,1,Mallorca,Valsequillo de Gran Canaria,88000,77,"Flat / Apartment in Faycan, 3, Valsequillo de Gran Canaria"
La Pardilla - San Antonio,2,2020-09-15,4,Mallorca,Telde,65000,84,"Flat / Apartment in JOHN LENONN, NN, La Pardilla - San Antonio, Telde"
La Isleta,2,2020-09-15,5,Mallorca,Las Palmas de Gran Canaria,199000,58,"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria"
La Isleta,2,2020-09-15,5,Mallorca,Las Palmas de Gran Canaria,199000,60,"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria"
La Isleta,2,2020-09-15,4,Mallorca,Las Palmas de Gran Canaria,196000,58,"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria"
La Isleta,2,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,190000,57,"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria"
La Isleta,2,2020-09-15,1,Mallorca,Las Palmas de Gran Canaria,185000,59,"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria"
Valle de los Nueve - El Ejido - Medianías,3,2020-09-15,1,Mallorca,Telde,128750,93,"Flat / Apartment in Valle de los Nueve - El Ejido - Medianías, Telde"
Vecindario norte-Cruce Sardina,3,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,116000,110,"Flat / Apartment in calle Miguel de Unamuno, 1, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Vecindario-Paredilla-Sardina,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,110000,97,"Flat / Apartment in avenida de las Tirajanas, 205, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
Vecindario-Los Llanos,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,121000,81,"Flat / Apartment in calle Diego de Ordaz, 63, Vecindario-Los Llanos, Santa Lucía de Tirajana"
30,3,2020-09-15,1,Mallorca,Agüimes,135000,78,"Flat / Apartment in calle Archipiélago Canario, 30, Agüimes"
Playa del Inglés,2,2020-09-15,5,Mallorca,San Bartolomé de Tirajana,199000,48,"Flat / Apartment in alfereces provisionales, 22, Playa del Inglés, San Bartolomé de Tirajana"
5,3,2020-09-15,1,Mallorca,Valsequillo de Gran Canaria,84500,70,"Flat / Apartment in Pérez Galdós, 5, Valsequillo de Gran Canaria"
NN,3,2020-09-15,2,Mallorca,Ingenio,98000,75,"Flat / Apartment in TENDERETE, NN, Ingenio"
Vecindario-Paredilla-Sardina,2,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,115000,65,"Flat / Apartment in calle Beñesmén, 11, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
La Isleta,2,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,185000,75,"Flat / Apartment in FARO, 13, La Isleta, Las Palmas de Gran Canaria"
Vecindario norte-Cruce Sardina,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,189000,121,"Flat / Apartment in avenida Atlántica, 363, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
La Pardilla - San Antonio,2,2020-09-15,4,Mallorca,Telde,65000,84,"Flat / Apartment in JOHN LENNON, La Pardilla - San Antonio, Telde"
El Tablero,2,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,155000,87,"Flat / Apartment in CIENFUGOS, NN, El Tablero, San Bartolomé de Tirajana"
Cruce de Arinaga,3,2020-09-15,1,Mallorca,Agüimes,118390,100,"Flat / Apartment in ROQUE NUBLO, NN, Cruce de Arinaga, Agüimes"
Playa de Arinaga,3,2020-09-15,1,Mallorca,Agüimes,159000,73,"Flat / Apartment in calle Jorge Juan, 30, Playa de Arinaga, Agüimes"
Vecindario norte-Cruce Sardina,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,189000,108,"Flat / Apartment in calle Isla de la Graciosa, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
San Lorenzo,3,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,165000,120,"Duplex in carretera de San Lorenzo., San Lorenzo, Las Palmas de Gran Canaria"
Arenales - Lugo - Avda Marítima,2,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,185000,70,"Flat / Apartment in calle León y Castillo, 162, Arenales - Lugo - Avda Marítima, Las Palmas de Gran Canaria"
La Isleta,2,2020-09-15,1,Mallorca,Las Palmas de Gran Canaria,105000,50,"Flat / Apartment in calle Benartemi, 33, La Isleta, Las Palmas de Gran Canaria"
La Isleta,2,2020-09-15,1,Mallorca,Las Palmas de Gran Canaria,105000,50,"Flat / Apartment in calle Benartemi, 33, La Isleta, Las Palmas de Gran Canaria"
Negrín,2,2020-09-15,3,Mallorca,Las Palmas de Gran Canaria,190000,73,"Flat / Apartment in carretera de Chile, 35, Negrín, Las Palmas de Gran Canaria"
Puerto Rico,3,2020-09-15,3,Mallorca,Mogán,147000,60,"Flat / Apartment in Roque de Los Muchachos, Puerto Rico, Mogán"
Vecindario-Paredilla-Sardina,3,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,140000,96,"Flat / Apartment in calle Garafia, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
Callejón del Castillo - El Calero - Las Huesas,3,2020-09-15,1,Mallorca,Telde,99000,109,"Flat / Apartment in Tenesoya, Callejón del Castillo - El Calero - Las Huesas, Telde"
23,3,2020-09-15,1,Mallorca,Ingenio,110000,98,"Flat / Apartment in calle Gánigo, 23, Ingenio"
Vecindario norte-Cruce Sardina,3,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,140000,101,"Flat / Apartment in calle de Pío X, 53, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Vecindario centro-San Pedro Mártir,2,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,99600,104,"Flat / Apartment in Guayadeque, 39, Vecindario centro-San Pedro Mártir, Santa Lucía de Tirajana"
Vecindario norte-Cruce Sardina,3,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,172000,90,"Flat / Apartment in Vecindario, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
San Juan de Dios-Salto del Negro-Playa de la Laja,2,2020-09-15,3,Mallorca,Las Palmas de Gran Canaria,119000,175,"Duplex in ZACATECAS, 21, San Juan de Dios-Salto del Negro-Playa de la Laja, Las Palmas de Gran Canaria"
San Juan de Dios-Salto del Negro-Playa de la Laja,3,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,95000,82,"Flat / Apartment in ANTÓN DVORAK, 15, San Juan de Dios-Salto del Negro-Playa de la Laja, Las Palmas de Gran Canaria"
Santidad,2,2020-09-15,1,Mallorca,Arucas,180000,70,"Flat / Apartment in Santidad, Arucas"
35,2,2020-09-15,2,Mallorca,Aldea de San Nicolás,62000,62,"Flat / Apartment in Don Paco Ramos, 35, Aldea de San Nicolás"
Las Mesas - El Toscón,3,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,179000,113,"Penthouse in Las Mesas - El Toscón, Las Palmas de Gran Canaria"
Vecindario centro-San Pedro Mártir,3,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,137000,120,"Flat / Apartment in calle Teno, 8, Vecindario centro-San Pedro Mártir, Santa Lucía de Tirajana"
23,2,2020-09-15,1,Mallorca,Mogán,199000,70,"Flat / Apartment in calle Antoñito el Molinero, 23, Mogán"
Cruce de Arinaga,2,2020-09-15,2,Mallorca,Agüimes,107000,63,"Flat / Apartment in Bentejui, Cruce de Arinaga, Agüimes"
Vecindario norte-Cruce Sardina,3,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,112000,86,"Flat / Apartment in Adargoma, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Vecindario norte-Cruce Sardina,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,165000,120,"Flat / Apartment in avenida del Atlántico, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Sardina,2,2020-09-15,3,Mallorca,Gáldar,129000,73,"Penthouse in carretera de Botija, Sardina, Gáldar"
La Isleta,3,2020-09-15,4,Mallorca,Las Palmas de Gran Canaria,149000,91,"Flat / Apartment in Atindana, La Isleta, Las Palmas de Gran Canaria"
San Gregorio,3,2020-09-15,1,Mallorca,Telde,99000,109,"Flat / Apartment in calle Alférez Quintana Suárez, San Gregorio, Telde"
San Fernando,3,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,185000,82,"Flat / Apartment in Partera Leonorita, 55, San Fernando, San Bartolomé de Tirajana"
San Fernando,3,2020-09-15,3,Mallorca,San Bartolomé de Tirajana,121000,80,"Flat / Apartment in calle Valsequillo, San Fernando, San Bartolomé de Tirajana"
San Fernando,2,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,135000,100,"Flat / Apartment in calle Antonio Martín López, San Fernando, San Bartolomé de Tirajana"
El Tablero,3,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,190000,95,"Flat / Apartment in Francisco Vega Monroy, 15, El Tablero, San Bartolomé de Tirajana"
18,4,2020-09-15,1,Mallorca,Valsequillo de Gran Canaria,135000,115,"Duplex in Isla de Hierro, 18, Valsequillo de Gran Canaria"
Bañaderos-El Puertillo-San Andrés,2,2020-09-15,2,Mallorca,Arucas,147490,122,"Flat / Apartment in calle Polca, Bañaderos-El Puertillo-San Andrés, Arucas"
San Juan de Dios-Salto del Negro-Playa de la Laja,3,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,145000,100,"Flat / Apartment in MARIANAO, NN, San Juan de Dios-Salto del Negro-Playa de la Laja, Las Palmas de Gran Canaria"
Altavista - Don Zoilo,3,2020-09-15,3,Mallorca,Las Palmas de Gran Canaria,155000,108,"Flat / Apartment in avenida Escaleritas, Altavista - Don Zoilo, Las Palmas de Gran Canaria"
Callejón del Castillo - El Calero - Las Huesas,3,2020-09-15,2,Mallorca,Telde,110000,80,"Flat / Apartment in calle Murillo, Callejón del Castillo - El Calero - Las Huesas, Telde"
San Fernando,3,2020-09-15,3,Mallorca,San Bartolomé de Tirajana,126000,80,"Flat / Apartment in calle Valsequillo, San Fernando, San Bartolomé de Tirajana"
El Tablero,2,2020-09-15,3,Mallorca,San Bartolomé de Tirajana,199000,74,"Penthouse in calle Jamaica, El Tablero, San Bartolomé de Tirajana"
Playa del Inglés,2,2020-09-15,7,Mallorca,San Bartolomé de Tirajana,186000,78,"Flat / Apartment in avenida de Tenerife, NN, Playa del Inglés, San Bartolomé de Tirajana"
San Fernando,3,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,167000,70,"Flat / Apartment in calle francisco hernandez gonzalez, 3, San Fernando, San Bartolomé de Tirajana"
Vecindario centro-San Pedro Mártir,3,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,120000,92,"Flat / Apartment in avenida de Canarias, 471, Vecindario centro-San Pedro Mártir, Santa Lucía de Tirajana"
Barrial-San Isidro-Marmolejos,3,2020-09-15,1,Mallorca,Gáldar,139000,97,"Flat / Apartment in calle Cabo Valentín, Barrial-San Isidro-Marmolejos, Gáldar"
Vecindario norte-Cruce Sardina,3,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,139000,100,"Penthouse in calle Poema la Maleta, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
San Fernando,3,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,189000,92,"Flat / Apartment in marcial franco, San Fernando, San Bartolomé de Tirajana"
Carrizal,3,2020-09-15,1,Mallorca,Ingenio,109630,87,"Flat / Apartment in calle Viera y Clavijo, Carrizal, Ingenio"
San Fernando,3,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,175000,81,"Flat / Apartment in San Fernando, San Fernando, San Bartolomé de Tirajana"
Vecindario-Los Llanos,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,126500,95,"Flat / Apartment in calle Ingeniero Doreste, 18, Vecindario-Los Llanos, Santa Lucía de Tirajana"
Las Mesas - El Toscón,3,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,187000,84,"Penthouse in avenida de la Democracia, 77, Las Mesas - El Toscón, Las Palmas de Gran Canaria"
Vecindario norte-Cruce Sardina,4,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,165000,90,"Flat / Apartment in avenida del Atlántico, 365, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
El Tablero,2,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,140000,65,"Flat / Apartment in calle Río de Janeiro, 4, El Tablero, San Bartolomé de Tirajana"
,2,2020-09-15,3,Mallorca,Mogán,149000,67,Flat / Apartment in Mogán
Vecindario-Paredilla-Sardina,3,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,124000,82,"Penthouse in Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
San Agustín-Bahía Feliz,2,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,120000,60,"Flat / Apartment in Los Jazmines, 9, San Agustín-Bahía Feliz, San Bartolomé de Tirajana"
Playa del Inglés,2,2020-09-15,5,Mallorca,San Bartolomé de Tirajana,178000,70,"Flat / Apartment in avenida Alfereces Provisionales, NN, Playa del Inglés, San Bartolomé de Tirajana"
Puerto Rico,2,2020-09-15,2,Mallorca,Mogán,189999,50,"Flat / Apartment in avenida De El Hierro, 3, Puerto Rico, Mogán"
,3,2020-09-15,2,Mallorca,Ingenio,97000,76,Flat / Apartment in Ingenio
Vecindario-Los Llanos,3,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,95000,98,"Flat / Apartment in Vecindario-Los Llanos, Santa Lucía de Tirajana"
Vecindario-Los Llanos,3,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,124000,95,"Flat / Apartment in Ingeniero Doreste, 18, Vecindario-Los Llanos, Santa Lucía de Tirajana"
Vecindario norte-Cruce Sardina,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,185000,164,"Flat / Apartment in avenida del Atlántico, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Vecindario norte-Cruce Sardina,2,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,110000,79,"Flat / Apartment in calle Apolinario, NN, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Cruce de Arinaga,2,2020-09-15,2,Mallorca,Agüimes,117420,64,"Flat / Apartment in calle Belingo, 29, Cruce de Arinaga, Agüimes"
Castillo del Romeral - Juan Grande,3,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,70000,65,"Flat / Apartment in calle Nuestra Señora del Carmen, Castillo del Romeral - Juan Grande, San Bartolomé de Tirajana"
Schamann - Rehoyas,2,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,130000,102,"Penthouse in calle Jacinta, 16, Schamann - Rehoyas, Las Palmas de Gran Canaria"
San Gregorio,3,2020-09-15,1,Mallorca,Telde,190000,130,"Flat / Apartment in avenida del cabildo insular, San Gregorio, Telde"
Santa Catalina - Canteras,2,2020-09-15,4,Mallorca,Las Palmas de Gran Canaria,195000,72,"Flat / Apartment in calle Ripoche, 4, Santa Catalina - Canteras, Las Palmas de Gran Canaria"
Vecindario norte-Cruce Sardina,3,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,113000,86,"Flat / Apartment in calle Adargoma, 15, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Vecindario-Los Llanos,3,2020-09-15,4,Mallorca,Santa Lucía de Tirajana,149990,110,"Penthouse in Vecindario-Los Llanos, Santa Lucía de Tirajana"
Vecindario centro-San Pedro Mártir,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,100000,85,"Flat / Apartment in calle Tegueste, 22, Vecindario centro-San Pedro Mártir, Santa Lucía de Tirajana"
24,4,2020-09-15,1,Mallorca,Vega de San Mateo,134000,140,"Flat / Apartment in AV Tinamar, 24, Vega de San Mateo"
Playa de Arinaga,2,2020-09-15,2,Mallorca,Agüimes,187000,79,"Flat / Apartment in Garcia de Toledo, NN, Playa de Arinaga, Agüimes"
Escaleritas - La Feria,4,2020-09-15,7,Mallorca,Las Palmas de Gran Canaria,120500,91,"Flat / Apartment in Diego Betancor Suarez, Escaleritas - La Feria, Las Palmas de Gran Canaria"
calle Antoñito el Molinero,2,2020-09-15,1,Mallorca,Mogán,199000,78,"Flat / Apartment in calle Antoñito el Molinero, Mogán"
Vecindario-Paredilla-Sardina,3,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,99700,79,"Flat / Apartment in Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
Vecindario centro-San Pedro Mártir,4,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,140400,127,"Flat / Apartment in Vecindario centro-San Pedro Mártir, Santa Lucía de Tirajana"
Diseminado San Felipe,3,2020-09-15,1,Mallorca,Santa Maria de Guia de Gran Canaria,118650,145,"Flat / Apartment in Diseminado San Felipe, Santa Maria de Guia de Gran Canaria"
Montaña los Vélez - Vargas,3,2020-09-15,1,Mallorca,Agüimes,126000,102,"Flat / Apartment in Montaña los Vélez - Vargas, Agüimes"
97,3,2020-09-15,6,Mallorca,Gáldar,107500,85,"Flat / Apartment in calle delgado, 97, Gáldar"
Vecindario-Los Llanos,3,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,106000,100,"Flat / Apartment in Vecindario-Los Llanos, Santa Lucía de Tirajana"
San Fernando,3,2020-09-15,3,Mallorca,San Bartolomé de Tirajana,150000,96,"Flat / Apartment in calle Mogán, 1, San Fernando, San Bartolomé de Tirajana"
Escaleritas - La Feria,4,2020-09-15,7,Mallorca,Las Palmas de Gran Canaria,119900,90,"Flat / Apartment in Diego Suarez Betancort, Escaleritas - La Feria, Las Palmas de Gran Canaria"
Playa del Inglés,2,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,158000,65,"Flat / Apartment in avenida de Tenerife, Playa del Inglés, San Bartolomé de Tirajana"
Vecindario centro-San Pedro Mártir,4,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,165000,90,"Flat / Apartment in Vecindario centro-San Pedro Mártir, Santa Lucía de Tirajana"
Cruce de Arinaga,3,2020-09-15,1,Mallorca,Agüimes,125000,90,"Flat / Apartment in calle Bentaguaire, NN, Cruce de Arinaga, Agüimes"
17,2,2020-09-15,1,Mallorca,Valsequillo de Gran Canaria,120800,70,"Flat / Apartment in calle Juan Carlos I, 17, Valsequillo de Gran Canaria"
Vega de San José,3,2020-09-15,4,Mallorca,Las Palmas de Gran Canaria,135000,112,"Flat / Apartment in calle Palma de Mallorca, 4, Vega de San José, Las Palmas de Gran Canaria"
Cruce de Arinaga,3,2020-09-15,1,Mallorca,Agüimes,130000,90,"Flat / Apartment in Cruce de arinaga, 5, Cruce de Arinaga, Agüimes"
Playa de Arinaga,3,2020-09-15,2,Mallorca,Agüimes,190000,120,"Flat / Apartment in calle López de Hoces, 54, Playa de Arinaga, Agüimes"
La Isleta,2,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,149000,70,"Flat / Apartment in calle Taliarte, 27, La Isleta, Las Palmas de Gran Canaria"
Playa del Inglés,2,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,172000,60,"Flat / Apartment in avenida de Italia, 20, Playa del Inglés, San Bartolomé de Tirajana"
Callejón del Castillo - El Calero - Las Huesas,2,2020-09-15,2,Mallorca,Telde,154900,90,"Flat / Apartment in paseo Alejo Pérez Santana, 13, Callejón del Castillo - El Calero - Las Huesas, Telde"
San Fernando,3,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,169000,75,"Flat / Apartment in calle Alcalde Marcial Franco, 2, San Fernando, San Bartolomé de Tirajana"
Vecindario norte-Cruce Sardina,2,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,109000,75,"Flat / Apartment in calle Apolinario Macias, 4, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
San Fernando,3,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,180000,117,"Flat / Apartment in calle Zuloaga, 1, San Fernando, San Bartolomé de Tirajana"
Escaleritas - La Feria,4,2020-09-15,7,Mallorca,Las Palmas de Gran Canaria,120000,90,"Flat / Apartment in Escaleritas - La Feria, Las Palmas de Gran Canaria"
Vecindario-Paredilla-Sardina,2,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,89000,60,"Flat / Apartment in Tintorete, 2, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
,3,2020-09-15,Ground floor,Mallorca,Mogán,145000,60,Penthouse in Mogán
Playa del Inglés,2,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,180000,60,"Flat / Apartment in avenida de Tirajana, 18, Playa del Inglés, San Bartolomé de Tirajana"
San Agustín-Bahía Feliz,3,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,188000,90,"Flat / Apartment in San Agustín-Bahía Feliz, San Bartolomé de Tirajana"
Vecindario-Paredilla-Sardina,3,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,106000,79,"Flat / Apartment in Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
,3,2020-09-15,1,Mallorca,Valsequillo de Gran Canaria,102000,89,Flat / Apartment in Valsequillo de Gran Canaria
San Fernando,3,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,160000,80,"Flat / Apartment in San Fernando, San Bartolomé de Tirajana"
San Fernando,3,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,120000,80,"Flat / Apartment in avenida Gáldar, San Fernando, San Bartolomé de Tirajana"
Vecindario centro-San Pedro Mártir,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,144000,108,"Flat / Apartment in calle tiscamanita, 48, Vecindario centro-San Pedro Mártir, Santa Lucía de Tirajana"
Castillo del Romeral - Juan Grande,3,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,70000,69,"Flat / Apartment in Nuestra señora del Carmen, 18, Castillo del Romeral - Juan Grande, San Bartolomé de Tirajana"
