area,address,number,price,date,size,transaction_type,full_address,lat,long
Carrigrohane,"22 The Crescent, Highfield Park, Carrigrohane  Ballincollig",22,251101,2010-03-26,38-125 m2,new,"22 22 The Crescent, Highfield Park, Carrigrohane  Ballincollig, Carrigrohane",51.89118108080445,-8.570433423222292
Shalimar Court,"9 Shalimar Court, Poulavone, Ballincollig",9,211453,2010-04-07,38-125 m2,new,"9 9 Shalimar Court, Poulavone, Ballincollig, Shalimar Court",51.88896130535807,-8.578969730369383
Wyndham Downs,"72 Wyndham Downs, Ballincollig, Co. Cork",72,270000,2010-04-09,1-38 m2,second-hand,"72 72 Wyndham Downs, Ballincollig, Co. Cork, Wyndham Downs",51.88594295587414,-8.620296147557605
Coolroe Meadows,"45 The Green, Coolroe Meadows, Ballincollig",45,215000,2010-04-13,1-38 m2,second-hand,"45 45 The Green, Coolroe Meadows, Ballincollig, Coolroe Meadows",51.88363432099277,-8.616138226350916
Highfield,"27 The Avenue, Highfield Park, Ballincollig",27,229074,2010-04-28,125-1000 m2,new,"27 27 The Avenue, Highfield Park, Ballincollig, Highfield",51.88483134751023,-8.573114016875365
Beech Park,"12, Cranford Pines, Ballincollig",12,220000,2010-04-29,1-38 m2,second-hand,"12 12, Cranford Pines, Ballincollig, Beech Park",51.884462825784524,-8.586660730369518
Coolroe,"2 The Vale, Coolroe, Ballincollig",2,381000,2010-04-29,1-38 m2,second-hand,"2 2 The Vale, Coolroe, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
Carrigrohane,"23  Bridgewater, Carrigrohane",23,531000,2010-04-29,1-38 m2,second-hand,"23 23  Bridgewater, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
Greenfield,"77 Old Court, Greenfields, Ballincollig",77,310000,2010-04-30,1-38 m2,second-hand,"77 77 Old Court, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Maglin,"9  Castleknock, Kilumney Road, Ballincollig",9,235000,2010-05-12,1-38 m2,second-hand,"9 9  Castleknock, Kilumney Road, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Parknamore,"8 Parknamore Heights, Ballincollig",8,240000,2010-05-13,1-38 m2,second-hand,"8 8 Parknamore Heights, Ballincollig, Parknamore",51.88458744794133,-8.609309161051812
Fionn Laoi,"3 Riversedge, Fionn Laoi, Ballincollig",3,303000,2010-05-18,38-125 m2,new,"3 3 Riversedge, Fionn Laoi, Ballincollig, Fionn Laoi",51.89295672639931,-8.577244778805012
Fionn Laoi,"11 Riverscourt, Fionn Laoi, Ballincollig",11,225000,2010-05-19,38-125 m2,new,"11 11 Riverscourt, Fionn Laoi, Ballincollig, Fionn Laoi",51.89295672639931,-8.577244778805012
Innishmore,"12 Innishmore Drive, Ballincollig",12,155000,2010-05-19,1-38 m2,second-hand,"12 12 Innishmore Drive, Ballincollig, Innishmore",51.88897474404985,-8.608958999892096
Highfield,"33 The Avenue, Highfield Park, Ballincollig",33,138766,2010-05-21,38-125 m2,new,"33 33 The Avenue, Highfield Park, Ballincollig, Highfield",51.88483134751023,-8.573114016875365
Muskerry Estate,"103 Beech  Rd, Muskerry Estate, Ballincollig",103,192000,2010-05-24,1-38 m2,second-hand,"103 103 Beech  Rd, Muskerry Estate, Ballincollig, Muskerry Estate",51.885514844369936,-8.596310161258103
Carrigrohane,"5 Leemount Place, Carrigrohane",5,154500,2010-05-28,1-38 m2,second-hand,"5 5 Leemount Place, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
Town Center,"No. 4 Poulavone Manor, Poulavone, Ballincollig",No.,483700,2010-05-28,125-1000 m2,new,"No. No. 4 Poulavone Manor, Poulavone, Ballincollig, Town Center",51.8878563321983,-8.600737381727024
Carrigrohane,"28 The Avenue, Highfield Park, Carrigrohane  Ballincollig",28,232423,2010-05-31,125-1000 m2,new,"28 28 The Avenue, Highfield Park, Carrigrohane  Ballincollig, Carrigrohane",51.89118108080445,-8.570433423222292
Great Island,"18 Westgrove, Ballincollig",18,292000,2010-06-01,1-38 m2,second-hand,"18 18 Westgrove, Ballincollig, Great Island",51.88932940267005,-8.619904411563992
Muskerry Estate,"24 Island Way, Muskerry Estate, Ballincollig",24,230000,2010-06-02,1-38 m2,second-hand,"24 24 Island Way, Muskerry Estate, Ballincollig, Muskerry Estate",51.885514844369936,-8.596310161258103
Shalimar Court,"6 Shalimar Court, Poulavone, Ballincollig",6,233480,2010-06-04,125-1000 m2,new,"6 6 Shalimar Court, Poulavone, Ballincollig, Shalimar Court",51.88896130535807,-8.578969730369383
Fionn Laoi,"20 Riversedge, Fionn Laoi, Ballincollig",20,264317,2010-06-15,38-125 m2,new,"20 20 Riversedge, Fionn Laoi, Ballincollig, Fionn Laoi",51.89295672639931,-8.577244778805012
Beech Park,"30 Cranford Pines, Ballincollig",30,235000,2010-06-16,1-38 m2,second-hand,"30 30 Cranford Pines, Ballincollig, Beech Park",51.884462825784524,-8.586660730369518
Maglin,"16 Glincool Lawn, Ballincollig",16,279600,2010-06-21,1-38 m2,second-hand,"16 16 Glincool Lawn, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Wyndham Downs,"20 The Grove, Wyndham Downs, Ballincollig",20,265000,2010-07-06,1-38 m2,second-hand,"20 20 The Grove, Wyndham Downs, Ballincollig, Wyndham Downs",51.88594295587414,-8.620296147557605
Fionn Laoi,"9 Rivers Court, Fionn Laoi, Poulavone  Ballincollig",9,136564,2010-07-07,38-125 m2,new,"9 9 Rivers Court, Fionn Laoi, Poulavone  Ballincollig, Fionn Laoi",51.89295672639931,-8.577244778805012
Muskerry Estate,"103 Shamrock Drive, Muskerry Estate, Ballincollig",103,210000,2010-07-14,1-38 m2,second-hand,"103 103 Shamrock Drive, Muskerry Estate, Ballincollig, Muskerry Estate",51.885514844369936,-8.596310161258103
Maglin,"4  Glincool Grove, Ballincollig",4,237500,2010-07-19,1-38 m2,second-hand,"4 4  Glincool Grove, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Carrigrohanebeg,"180 The Willows, Ballincollig",180,165000,2010-07-20,1-38 m2,second-hand,"180 180 The Willows, Ballincollig, Carrigrohanebeg",51.89309917070151,-8.580849757357647
Maglin,"18 The Meadows, Maglin, Ballincollig",18,187000,2010-07-22,1-38 m2,second-hand,"18 18 The Meadows, Maglin, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Carrigrohane,"No. 9 The Crescent, Highfield Park, Carrigrohane  Ballincollig",No.,245000,2010-07-22,38-125 m2,new,"No. No. 9 The Crescent, Highfield Park, Carrigrohane  Ballincollig, Carrigrohane",51.89118108080445,-8.570433423222292
Highfield,"11 The Crescent, Highfield Park, Ballincollig",11,237886,2010-07-26,38-125 m2,new,"11 11 The Crescent, Highfield Park, Ballincollig, Highfield",51.88483134751023,-8.573114016875365
Fionn Laoi,"1  Riverscourt, Fionn Laoi, Ballincollig",1,190000,2010-07-27,38-125 m2,new,"1 1  Riverscourt, Fionn Laoi, Ballincollig, Fionn Laoi",51.89295672639931,-8.577244778805012
Highfield,"13 The Crescent, Highfield Park, Ballincollig",13,234360,2010-07-27,38-125 m2,new,"13 13 The Crescent, Highfield Park, Ballincollig, Highfield",51.88483134751023,-8.573114016875365
Coolroe,"19 The Close, Coolroe Meadows, Ballincollig",19,260000,2010-07-30,1-38 m2,second-hand,"19 19 The Close, Coolroe Meadows, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
Fionn Laoi,"12 Riverscourt, Fionn Laoi, Ballincollig",12,149779,2010-08-04,38-125 m2,new,"12 12 Riverscourt, Fionn Laoi, Ballincollig, Fionn Laoi",51.89295672639931,-8.577244778805012
Coolroe,"7 The Avenue, Coolroe Heights, Ballincollig",7,230000,2010-08-04,1-38 m2,second-hand,"7 7 The Avenue, Coolroe Heights, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
Carrigrohane,"34 The Avenue, Highfield Park Carrigrohane, Ballincollig",34,160176,2010-08-11,1-38 m2,new,"34 34 The Avenue, Highfield Park Carrigrohane, Ballincollig, Carrigrohane",51.89118108080445,-8.570433423222292
Carrigrohane,"15 Highfield Crescent, Highfield Park, Carrigrohane  Ballincollig  Cork",15,185023,2010-08-16,1-38 m2,new,"15 15 Highfield Crescent, Highfield Park, Carrigrohane  Ballincollig  Cork, Carrigrohane",51.89118108080445,-8.570433423222292
Carrigrohane,"10 The Crescent, Highfield Park, Carrigrohane  Ballincollig",10,270000,2010-08-17,38-125 m2,new,"10 10 The Crescent, Highfield Park, Carrigrohane  Ballincollig, Carrigrohane",51.89118108080445,-8.570433423222292
Bridgewater,"36  Bridge Water, Ballincollig",36,478000,2010-08-17,1-38 m2,second-hand,"36 36  Bridge Water, Ballincollig, Bridgewater",51.892045489951855,-8.570518503381045
Westcourt,"56 Westcourt Heights, Ballincollig, Co Cork",56,253000,2010-08-19,1-38 m2,second-hand,"56 56 Westcourt Heights, Ballincollig, Co Cork, Westcourt",51.88681255417706,-8.616295628522487
Westcourt,"49 Westcourt Heights, Ballincollig",49,210000,2010-09-02,1-38 m2,second-hand,"49 49 Westcourt Heights, Ballincollig, Westcourt",51.88681255417706,-8.616295628522487
Highfield,"21 The Crescent, Highfield Park, Ballincollig",21,175932,2010-09-13,38-125 m2,new,"21 21 The Crescent, Highfield Park, Ballincollig, Highfield",51.88483134751023,-8.573114016875365
Maglin,"3 Glincool Crescent, Maglin Road, Ballincollig",3,225000,2010-09-15,1-38 m2,second-hand,"3 3 Glincool Crescent, Maglin Road, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Maglin,"34 Limeworth, Carriganarra, Ballincollig",34,665198,2010-09-17,125-1000 m2,new,"34 34 Limeworth, Carriganarra, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Coolroe,"5 Westbury Heights, Ballincollig, Co. Cork",5,381000,2010-09-20,1-38 m2,second-hand,"5 5 Westbury Heights, Ballincollig, Co. Cork, Coolroe",51.885279789132504,-8.622716969745719
Maglin,"14 Glincool Crescent, Ballincollig, Cork",14,225000,2010-09-23,1-38 m2,second-hand,"14 14 Glincool Crescent, Ballincollig, Cork, Maglin",51.88135112776452,-8.59523805920491
Carrigrohane,"7 The Crescent, Highfield Park  Carrigrohane, Ballincollig",7,265000,2010-09-23,38-125 m2,new,"7 7 The Crescent, Highfield Park  Carrigrohane, Ballincollig, Carrigrohane",51.89118108080445,-8.570433423222292
Castlepark,"95 Castle Park, Ballincollig",95,145500,2010-09-28,1-38 m2,second-hand,"95 95 Castle Park, Ballincollig, Castlepark",51.88653927567583,-8.585310716875346
Aylsbury,"31  Aylsbury Downs, Aylsbury, Ballincollig",31,185000,2010-10-21,1-38 m2,second-hand,"31 31  Aylsbury Downs, Aylsbury, Ballincollig, Aylsbury",51.88284449037205,-8.620440916875388
Muskerry Estate,"1 Beech Road, Muskerry Estate, Ballincollig",1,240000,2010-10-26,1-38 m2,second-hand,"1 1 Beech Road, Muskerry Estate, Ballincollig, Muskerry Estate",51.885514844369936,-8.596310161258103
Daffodil Fields,"38  Daffodil Fields, Ballincollig",38,404000,2010-10-27,1-38 m2,second-hand,"38 38  Daffodil Fields, Ballincollig, Daffodil Fields",51.89114262893351,-8.573402430369397
Carrigrohane,"6 The Crescent, Highfield Park, Carrigrohane Ballincollig",6,247400,2010-10-29,38-125 m2,new,"6 6 The Crescent, Highfield Park, Carrigrohane Ballincollig, Carrigrohane",51.89118108080445,-8.570433423222292
An Caislean,"No.7 An Caislean Close, Ballincollig, County Cork",No.7,170000,2010-10-29,1-38 m2,second-hand,"No.7 No.7 An Caislean Close, Ballincollig, County Cork, An Caislean",51.88419579207018,-8.604721941977742
Greenfield,"54 Tuairin Glas, Ballincollig",54,160000,2010-11-01,38-125 m2,new,"54 54 Tuairin Glas, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Muskerry Estate,"9 Hazel Grove, Muskerry Estate, Ballincollig",9,130000,2010-11-03,1-38 m2,second-hand,"9 9 Hazel Grove, Muskerry Estate, Ballincollig, Muskerry Estate",51.885514844369936,-8.596310161258103
Old Quarter,"27 Waltham Abbey, Old Quarter, Ballincollig",27,268722,2010-11-11,38-125 m2,new,"27 27 Waltham Abbey, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Carriganarra,"13 Ashton Court, Ballincollig",13,283000,2010-11-12,1-38 m2,second-hand,"13 13 Ashton Court, Ballincollig, Carriganarra",51.88456579585057,-8.579854607281877
Greenfield,"33 Fernwalk, Greenfields, Ballincollig",33,470000,2010-11-18,1-38 m2,second-hand,"33 33 Fernwalk, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Maglin,"16 Glincool Rise, Maglin Road, Ballincollig",16,243000,2010-11-19,1-38 m2,second-hand,"16 16 Glincool Rise, Maglin Road, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Carrigrohane,"18  The Crescent, Highfield Park  Carrigrohane, Ballincollig",18,210000,2010-12-01,38-125 m2,new,"18 18  The Crescent, Highfield Park  Carrigrohane, Ballincollig, Carrigrohane",51.89118108080445,-8.570433423222292
Castle Road,"Castle Lodge, Castle Road, Ballincollig",Castle,220000,2010-12-01,1-38 m2,second-hand,"Castle Castle Lodge, Castle Road, Ballincollig, Castle Road",51.88234227885883,-8.59817565735788
Greenfield,"No 2 Old Court Drive, Greenfields, Ballincollig",No,240000,2010-12-01,1-38 m2,second-hand,"No No 2 Old Court Drive, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Town Center,"141 The Quadrants, Ballincollig Town Centre, Ballincollig",141,172500,2010-12-07,1-38 m2,second-hand,"141 141 The Quadrants, Ballincollig Town Centre, Ballincollig, Town Center",51.8878563321983,-8.600737381727024
Coolroe,"23 The Close, Coolroe Meadows, Ballincollig",23,257000,2010-12-07,1-38 m2,second-hand,"23 23 The Close, Coolroe Meadows, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
Highfield,"4 The Crescent, Highfield Park, Ballincollig",4,273832,2010-12-08,38-125 m2,new,"4 4 The Crescent, Highfield Park, Ballincollig, Highfield",51.88483134751023,-8.573114016875365
Classis Lake,"No. 4 Mossgrove, Classes Lake, Ballincollig",No.,340000,2010-12-09,1-38 m2,second-hand,"No. No. 4 Mossgrove, Classes Lake, Ballincollig, Classis Lake",51.88586099008718,-8.62822296864587
Town Center,"6 Fr. Sexton Park, Ballincollig",6,160000,2010-12-12,1-38 m2,second-hand,"6 6 Fr. Sexton Park, Ballincollig, Town Center",51.8878563321983,-8.600737381727024
Coolroe,"22 Willowgrove, Coolroe Heights, Ballincollig",22,205000,2010-12-13,1-38 m2,second-hand,"22 22 Willowgrove, Coolroe Heights, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
Town Center,"No. 64 Church View, Station Road, Ballincollig",No.,257000,2010-12-13,1-38 m2,second-hand,"No. No. 64 Church View, Station Road, Ballincollig, Town Center",51.8878563321983,-8.600737381727024
Carrigrohane,"Inglewood, Rocklodge, Carrigrohane",1,240000,2010-12-20,1-38 m2,second-hand,"1 Inglewood, Rocklodge, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
The Cloisters,"79 The Cloisters, Ballincollig, Cork",79,109000,2011-01-12,1-38 m2,second-hand,"79 79 The Cloisters, Ballincollig, Cork, The Cloisters",51.88453436126935,-8.578108099687265
Powdermills,"19/20 Longerange, Powdermills, Ballincollig",19/20,218000,2011-01-14,1-38 m2,second-hand,"19/20 19/20 Longerange, Powdermills, Ballincollig, Powdermills",51.89225015549648,-8.586096438526356
Coolroe Meadows,"92 The Green, Coolroe Meadows, Ballincollig",92,265000,2011-02-10,1-38 m2,second-hand,"92 92 The Green, Coolroe Meadows, Ballincollig, Coolroe Meadows",51.88363432099277,-8.616138226350916
Old Quarter,"147 Leslie'S Arch, Old Quarter, Ballincollig",147,180000,2011-02-24,1-38 m2,second-hand,"147 147 Leslie'S Arch, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Greenfield,"101 Old Court, Greenfields, Ballincollig",101,288000,2011-02-25,1-38 m2,second-hand,"101 101 Old Court, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Shalimar Court,"1 Shalimar Court, Poulavone, Ballincollig",1,225000,2011-03-23,38-125 m2,new,"1 1 Shalimar Court, Poulavone, Ballincollig, Shalimar Court",51.88896130535807,-8.578969730369383
Beech Park,"10 Aisling Close, Ballincollig",10,222000,2011-03-25,1-38 m2,second-hand,"10 10 Aisling Close, Ballincollig, Beech Park",51.884462825784524,-8.586660730369518
Greenfield,"22 Old Court Greenfields, Ballincollig, Cork",22,385000,2011-04-05,1-38 m2,second-hand,"22 22 Old Court Greenfields, Ballincollig, Cork, Greenfield",51.88072634468435,-8.611355403381312
Rosewood,"93  Rosewood Estate, Ballincollig",93,150000,2011-04-08,1-38 m2,second-hand,"93 93  Rosewood Estate, Ballincollig, Rosewood",51.88865181082447,-8.575978970851866
Maglin,"2  Glincool Gardens, Maglin Road, Ballincollig",2,253000,2011-04-14,1-38 m2,second-hand,"2 2  Glincool Gardens, Maglin Road, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Carrigrohane,"No.5 The Crescent, Highfield Park  Carrigrohane, Ballincollig",No.5,230396,2011-04-15,38-125 m2,new,"No.5 No.5 The Crescent, Highfield Park  Carrigrohane, Ballincollig, Carrigrohane",51.89118108080445,-8.570433423222292
Great Island,"19 Westgrove, Ballincollig, Co Cork",19,256000,2011-04-20,1-38 m2,second-hand,"19 19 Westgrove, Ballincollig, Co Cork, Great Island",51.88932940267005,-8.619904411563992
Manor Hill,"17 Manor Hill, Ballincollig",17,180000,2011-04-21,1-38 m2,second-hand,"17 17 Manor Hill, Ballincollig, Manor Hill",51.89121035709487,-8.575907457357648
Maglin,"Maglin, Ballincollig",Maglin,250000,2011-04-21,1-38 m2,second-hand,"Maglin Maglin, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Coolroe Meadows,"48 The Green, Coolroe Meadows, Ballincollig",48,255000,2011-04-22,1-38 m2,second-hand,"48 48 The Green, Coolroe Meadows, Ballincollig, Coolroe Meadows",51.88363432099277,-8.616138226350916
Town Center,"2 3 4 Poulavone Manor, Ballincollig",2,441000,2011-05-11,1-38 m2,second-hand,"2 2 3 4 Poulavone Manor, Ballincollig, Town Center",51.8878563321983,-8.600737381727024
The Cloisters,"66 The Cloisters, Ballincollig",66,163000,2011-05-17,1-38 m2,second-hand,"66 66 The Cloisters, Ballincollig, The Cloisters",51.88453436126935,-8.578108099687265
Coolroe Meadows,"85 The Green, Coolroe Meadows, Ballincollig",85,270000,2011-05-19,1-38 m2,second-hand,"85 85 The Green, Coolroe Meadows, Ballincollig, Coolroe Meadows",51.88363432099277,-8.616138226350916
Rosewood,"91  Rosewood Estate, Ballincollig, Cork",91,198000,2011-05-19,1-38 m2,second-hand,"91 91  Rosewood Estate, Ballincollig, Cork, Rosewood",51.88865181082447,-8.575978970851866
Coolroe Heights,"40  Willow Grove, Coolroe Heights, Ballincollig",40,166666,2011-05-26,1-38 m2,second-hand,"40 40  Willow Grove, Coolroe Heights, Ballincollig, Coolroe Heights",51.8915162277775,-8.581342570851831
Beech Park,"106 Beech Park, Ballincollig",106,165500,2011-05-27,1-38 m2,second-hand,"106 106 Beech Park, Ballincollig, Beech Park",51.884462825784524,-8.586660730369518
Westcourt,"66 Westcourt Estate, Ballincollig, Co. Cork",66,155000,2011-06-06,1-38 m2,second-hand,"66 66 Westcourt Estate, Ballincollig, Co. Cork, Westcourt",51.88681255417706,-8.616295628522487
The Maltings,"No. 12 Granary Court, The Maltings, Ballincollig",No.,120000,2011-06-08,1-38 m2,second-hand,"No. No. 12 Granary Court, The Maltings, Ballincollig, The Maltings",51.88503727921537,-8.591352822622822
Maglin,"Maglin, Ballincollig",Maglin,180000,2011-06-16,1-38 m2,second-hand,"Maglin Maglin, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
An Caislean,"136 An Caislean, Ballincollig",136,231000,2011-07-13,1-38 m2,second-hand,"136 136 An Caislean, Ballincollig, An Caislean",51.88419579207018,-8.604721941977742
Wyndham Downs,"41 Wyndham Downs, Ballincollig",41,202000,2011-07-20,1-38 m2,second-hand,"41 41 Wyndham Downs, Ballincollig, Wyndham Downs",51.88594295587414,-8.620296147557605
An Caislean,"10 An Caislean, Ballincollig",10,162000,2011-07-22,1-38 m2,second-hand,"10 10 An Caislean, Ballincollig, An Caislean",51.88419579207018,-8.604721941977742
Daffodil Fields,"7 Daffodil Fields, Ballincollig",7,305000,2011-07-22,1-38 m2,second-hand,"7 7 Daffodil Fields, Ballincollig, Daffodil Fields",51.89114262893351,-8.573402430369397
Manor Hill,"82 Manor Hill, Ballincollig, Cork",82,237000,2011-08-15,1-38 m2,second-hand,"82 82 Manor Hill, Ballincollig, Cork, Manor Hill",51.89121035709487,-8.575907457357648
Old Quarter,"101 Leslie'S Arch, Old Quarter, Ballincollig",101,200000,2011-08-16,1-38 m2,second-hand,"101 101 Leslie'S Arch, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Greenfield,"38 Old Court, Greenfields, Ballincollig",38,264500,2011-08-22,1-38 m2,second-hand,"38 38 Old Court, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Carrigrohane,"Carrigrohane House, Carrigrohane, Cork",1,1726844,2011-08-24,1-38 m2,second-hand,"1 Carrigrohane House, Carrigrohane, Cork, Carrigrohane",51.89118108080445,-8.570433423222292
Maglin,"Maglin, Ballincollig",Maglin,166000,2011-08-30,1-38 m2,second-hand,"Maglin Maglin, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Beech Park,"18 Aisling Close, Ballincollig",18,202000,2011-08-31,1-38 m2,second-hand,"18 18 Aisling Close, Ballincollig, Beech Park",51.884462825784524,-8.586660730369518
Highfield,"17 Highfield Park, Ballincollig, County Cork",17,215000,2011-09-09,1-38 m2,second-hand,"17 17 Highfield Park, Ballincollig, County Cork, Highfield",51.88483134751023,-8.573114016875365
Carriganarra,"56 Carriganarra, Ballincollig",56,175000,2011-09-15,1-38 m2,second-hand,"56 56 Carriganarra, Ballincollig, Carriganarra",51.88456579585057,-8.579854607281877
Coolroe,"39 The Close, Coolroe Meadows, Ballincollig",39,242000,2011-09-19,1-38 m2,second-hand,"39 39 The Close, Coolroe Meadows, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
Greenfield,"31 Fernwalk, Greenfields, Ballincollig",31,525000,2011-09-30,1-38 m2,second-hand,"31 31 Fernwalk, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Great Island,"4  Westgrove, Ballincollig, Cork",4,220000,2011-10-04,1-38 m2,second-hand,"4 4  Westgrove, Ballincollig, Cork, Great Island",51.88932940267005,-8.619904411563992
Carrigrohane,"18  Bridgewater, Carrigrohane, Co. Cork",18,410000,2011-10-10,1-38 m2,second-hand,"18 18  Bridgewater, Carrigrohane, Co. Cork, Carrigrohane",51.89118108080445,-8.570433423222292
Maglin,"15 Castleknock, Ballincollig",15,183000,2011-10-21,1-38 m2,second-hand,"15 15 Castleknock, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Manor Hill,"41  Manor Hill, Ballincollig",41,265000,2011-10-26,1-38 m2,second-hand,"41 41  Manor Hill, Ballincollig, Manor Hill",51.89121035709487,-8.575907457357648
Greenfield,"66 Oldcourt, Greenfields Kilumney Rd, Ballincollig",66,260000,2011-11-04,1-38 m2,second-hand,"66 66 Oldcourt, Greenfields Kilumney Rd, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Old Quarter,"86 Leslie'S Arch, Old Quarter, Ballincollig",86,227500,2011-11-04,1-38 m2,second-hand,"86 86 Leslie'S Arch, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
The Maltings,"18 Barley Grove, The Maltings, Ballincollig",18,164000,2011-11-15,1-38 m2,second-hand,"18 18 Barley Grove, The Maltings, Ballincollig, The Maltings",51.88503727921537,-8.591352822622822
Carriganarra,"24 Carriganarra, Ballincollig, Co. Cork",24,105190,2011-11-16,1-38 m2,second-hand,"24 24 Carriganarra, Ballincollig, Co. Cork, Carriganarra",51.88456579585057,-8.579854607281877
Old Quarter,"1 Cleburne Mews, Ballincollig",1,155668,2011-11-17,38-125 m2,new,"1 1 Cleburne Mews, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Old Quarter,"10 Cleburne Mews, Old Quarter, Ballincollig",10,155668,2011-11-17,38-125 m2,new,"10 10 Cleburne Mews, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Old Quarter,"11 Cleburne Mews, Old Quarter, Ballincollig",11,145495,2011-11-17,38-125 m2,new,"11 11 Cleburne Mews, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
