date,address,county,price,description,size,locality
2010-05-19,"12 Innishmore Drive, Ballincollig",Cork,155000,second-hand,1-38 m2,Ballincollig
2010-05-21,"33 The Avenue, Highfield Park, Ballincollig",Cork,138766,new,38-125 m2,Ballincollig
2010-05-24,"103 Beech  Rd, Muskerry Estate, Ballincollig",Cork,192000,second-hand,1-38 m2,Ballincollig
2010-05-28,"5 Leemount Place, Carrigrohane",Cork,154500,second-hand,1-38 m2,Ballincollig
2010-05-28,"No. 4 Poulavone Manor, Poulavone, Ballincollig",Cork,483700,new,125-1000 m2,Ballincollig
2010-05-31,"28 The Avenue, Highfield Park, Carrigrohane  Ballincollig",Cork,232423,new,125-1000 m2,Ballincollig
2010-06-01,"18 Westgrove, Ballincollig",Cork,292000,second-hand,1-38 m2,Ballincollig
2010-06-02,"24 Island Way, Muskerry Estate, Ballincollig",Cork,230000,second-hand,1-38 m2,Ballincollig
2010-06-04,"6 Shalimar Court, Poulavone, Ballincollig",Cork,233480,new,125-1000 m2,Ballincollig
2010-06-15,"20 Riversedge, Fionn Laoi, Ballincollig",Cork,264317,new,38-125 m2,Ballincollig
2010-06-16,"30 Cranford Pines, Ballincollig",Cork,235000,second-hand,1-38 m2,Ballincollig
2010-06-21,"16 Glincool Lawn, Ballincollig",Cork,279600,second-hand,1-38 m2,Ballincollig
2010-07-06,"20 The Grove, Wyndham Downs, Ballincollig",Cork,265000,second-hand,1-38 m2,Ballincollig
2010-07-07,"9 Rivers Court, Fionn Laoi, Poulavone  Ballincollig",Cork,136564,new,38-125 m2,Ballincollig
2010-07-14,"103 Shamrock Drive, Muskerry Estate, Ballincollig",Cork,210000,second-hand,1-38 m2,Ballincollig
2010-07-19,"4  Glincool Grove, Ballincollig",Cork,237500,second-hand,1-38 m2,Ballincollig
2010-07-20,"180 The Willows, Ballincollig",Cork,165000,second-hand,1-38 m2,Ballincollig
2010-07-22,"18 The Meadows, Maglin, Ballincollig",Cork,187000,second-hand,1-38 m2,Ballincollig
2010-07-22,"No. 9 The Crescent, Highfield Park, Carrigrohane  Ballincollig",Cork,245000,new,38-125 m2,Ballincollig
2010-07-26,"11 The Crescent, Highfield Park, Ballincollig",Cork,237886,new,38-125 m2,Ballincollig
2010-07-27,"1  Riverscourt, Fionn Laoi, Ballincollig",Cork,190000,new,38-125 m2,Ballincollig
2010-07-27,"13 The Crescent, Highfield Park, Ballincollig",Cork,234360,new,38-125 m2,Ballincollig
2010-07-30,"19 The Close, Coolroe Meadows, Ballincollig",Cork,260000,second-hand,1-38 m2,Ballincollig
2010-08-04,"12 Riverscourt, Fionn Laoi, Ballincollig",Cork,149779,new,38-125 m2,Ballincollig
2010-08-04,"7 The Avenue, Coolroe Heights, Ballincollig",Cork,230000,second-hand,1-38 m2,Ballincollig
2010-08-06,"2 Leeview, Ballincollig",Cork,145000,second-hand,1-38 m2,Ballincollig
2010-08-11,"34 The Avenue, Highfield Park Carrigrohane, Ballincollig",Cork,160176,new,1-38 m2,Ballincollig
2010-08-16,"15 Highfield Crescent, Highfield Park, Carrigrohane  Ballincollig  Cork",Cork,185023,new,1-38 m2,Ballincollig
2010-08-17,"10 The Crescent, Highfield Park, Carrigrohane  Ballincollig",Cork,270000,new,38-125 m2,Ballincollig
2010-08-17,"36  Bridge Water, Ballincollig",Cork,478000,second-hand,1-38 m2,Ballincollig
2010-08-19,"56 Westcourt Heights, Ballincollig, Co Cork",Cork,253000,second-hand,1-38 m2,Ballincollig
2010-09-02,"49 Westcourt Heights, Ballincollig",Cork,210000,second-hand,1-38 m2,Ballincollig
2010-09-13,"21 The Crescent, Highfield Park, Ballincollig",Cork,175932,new,38-125 m2,Ballincollig
2010-09-15,"3 Glincool Crescent, Maglin Road, Ballincollig",Cork,225000,second-hand,1-38 m2,Ballincollig
2010-09-17,"3 Pic Du Jer Close, Ballincollig",Cork,255000,second-hand,1-38 m2,Ballincollig
2010-09-17,"34 Limeworth, Carriganarra, Ballincollig",Cork,665198,new,125-1000 m2,Ballincollig
2010-09-20,"5 Westbury Heights, Ballincollig, Co. Cork",Cork,381000,second-hand,1-38 m2,Ballincollig
2010-09-23,"14 Glincool Crescent, Ballincollig, Cork",Cork,225000,second-hand,1-38 m2,Ballincollig
2010-09-23,"7 The Crescent, Highfield Park  Carrigrohane, Ballincollig",Cork,265000,new,38-125 m2,Ballincollig
2010-09-28,"95 Castle Park, Ballincollig",Cork,145500,second-hand,1-38 m2,Ballincollig
2010-10-18,"Healys Bar, Main Street, Ballincollig",Cork,17850,second-hand,1-38 m2,Ballincollig
2010-10-21,"31  Aylsbury Downs, Aylsbury, Ballincollig",Cork,185000,second-hand,1-38 m2,Ballincollig
2010-10-26,"1 Beech Road, Muskerry Estate, Ballincollig",Cork,240000,second-hand,1-38 m2,Ballincollig
2010-10-27,"38  Daffodil Fields, Ballincollig",Cork,404000,second-hand,1-38 m2,Ballincollig
2010-10-29,"6 The Crescent, Highfield Park, Carrigrohane Ballincollig",Cork,247400,new,38-125 m2,Ballincollig
2010-10-29,"No.7 An Caislean Close, Ballincollig, County Cork",Cork,170000,second-hand,1-38 m2,Ballincollig
2010-11-01,"54 Tuairin Glas, Ballincollig",Cork,160000,new,38-125 m2,Ballincollig
2010-11-03,"9 Hazel Grove, Muskerry Estate, Ballincollig",Cork,130000,second-hand,1-38 m2,Ballincollig
2010-11-11,"27 Waltham Abbey, Old Quarter, Ballincollig",Cork,268722,new,38-125 m2,Ballincollig
2010-11-12,"13 Ashton Court, Ballincollig",Cork,283000,second-hand,1-38 m2,Ballincollig
2010-11-18,"33 Fernwalk, Greenfields, Ballincollig",Cork,470000,second-hand,1-38 m2,Ballincollig
2010-11-19,"16 Glincool Rise, Maglin Road, Ballincollig",Cork,243000,second-hand,1-38 m2,Ballincollig
2010-12-01,"18  The Crescent, Highfield Park  Carrigrohane, Ballincollig",Cork,210000,new,38-125 m2,Ballincollig
2010-12-01,"Castle Lodge, Castle Road, Ballincollig",Cork,220000,second-hand,1-38 m2,Ballincollig
2010-12-01,"No 2 Old Court Drive, Greenfields, Ballincollig",Cork,240000,second-hand,1-38 m2,Ballincollig
2010-12-07,"14 Aylesbury Avenue, Ballincollig, Cork",Cork,17500,second-hand,1-38 m2,Ballincollig
2010-12-07,"141 The Quadrants, Ballincollig Town Centre, Ballincollig",Cork,172500,second-hand,1-38 m2,Ballincollig
2010-12-07,"23 The Close, Coolroe Meadows, Ballincollig",Cork,257000,second-hand,1-38 m2,Ballincollig
2010-12-08,"4 The Crescent, Highfield Park, Ballincollig",Cork,273832,new,38-125 m2,Ballincollig
2010-12-09,"No. 4 Mossgrove, Classes Lake, Ballincollig",Cork,340000,second-hand,1-38 m2,Ballincollig
2010-12-12,"6 Fr. Sexton Park, Ballincollig",Cork,160000,second-hand,1-38 m2,Ballincollig
2010-12-13,"22 Willowgrove, Coolroe Heights, Ballincollig",Cork,205000,second-hand,1-38 m2,Ballincollig
2010-12-13,"No. 64 Church View, Station Road, Ballincollig",Cork,257000,second-hand,1-38 m2,Ballincollig
2010-12-20,"Inglewood, Rocklodge, Carrigrohane",Cork,240000,second-hand,1-38 m2,Ballincollig
2010-12-21,"2, Rocklawn, Ballincollig",Cork,175000,second-hand,1-38 m2,Ballincollig
2011-01-12,"79 The Cloisters, Ballincollig, Cork",Cork,109000,second-hand,1-38 m2,Ballincollig
2011-01-12,"Ballincollie, Ballyvolane",Cork,180000,second-hand,1-38 m2,Ballincollig
2011-01-14,"19/20 Longerange, Powdermills, Ballincollig",Cork,218000,second-hand,1-38 m2,Ballincollig
2011-02-10,"92 The Green, Coolroe Meadows, Ballincollig",Cork,265000,second-hand,1-38 m2,Ballincollig
2011-02-24,"147 Leslie'S Arch, Old Quarter, Ballincollig",Cork,180000,second-hand,1-38 m2,Ballincollig
2011-02-25,"101 Old Court, Greenfields, Ballincollig",Cork,288000,second-hand,1-38 m2,Ballincollig
2011-03-23,"1 Shalimar Court, Poulavone, Ballincollig",Cork,225000,new,38-125 m2,Ballincollig
2011-03-25,"10 Aisling Close, Ballincollig",Cork,222000,second-hand,1-38 m2,Ballincollig
2011-04-05,"22 Old Court Greenfields, Ballincollig, Cork",Cork,385000,second-hand,1-38 m2,Ballincollig
2011-04-08,"93  Rosewood Estate, Ballincollig",Cork,150000,second-hand,1-38 m2,Ballincollig
2011-04-14,"2  Glincool Gardens, Maglin Road, Ballincollig",Cork,253000,second-hand,1-38 m2,Ballincollig
2011-04-15,"No.5 The Crescent, Highfield Park  Carrigrohane, Ballincollig",Cork,230396,new,38-125 m2,Ballincollig
2011-04-20,"19 Westgrove, Ballincollig, Co Cork",Cork,256000,second-hand,1-38 m2,Ballincollig
2011-04-21,"17 Manor Hill, Ballincollig",Cork,180000,second-hand,1-38 m2,Ballincollig
2011-04-21,"Maglin, Ballincollig",Cork,250000,second-hand,1-38 m2,Ballincollig
2011-04-22,"48 The Green, Coolroe Meadows, Ballincollig",Cork,255000,second-hand,1-38 m2,Ballincollig
2011-05-11,"2 3 4 Poulavone Manor, Ballincollig",Cork,441000,second-hand,1-38 m2,Ballincollig
2011-05-17,"66 The Cloisters, Ballincollig",Cork,163000,second-hand,1-38 m2,Ballincollig
2011-05-19,"85 The Green, Coolroe Meadows, Ballincollig",Cork,270000,second-hand,1-38 m2,Ballincollig
2011-05-19,"91  Rosewood Estate, Ballincollig, Cork",Cork,198000,second-hand,1-38 m2,Ballincollig
2011-05-26,"40  Willow Grove, Coolroe Heights, Ballincollig",Cork,166666,second-hand,1-38 m2,Ballincollig
2011-05-27,"106 Beech Park, Ballincollig",Cork,165500,second-hand,1-38 m2,Ballincollig
2011-06-06,"66 Westcourt Estate, Ballincollig, Co. Cork",Cork,155000,second-hand,1-38 m2,Ballincollig
2011-06-08,"No. 12 Granary Court, The Maltings, Ballincollig",Cork,120000,second-hand,1-38 m2,Ballincollig
2011-06-16,"Maglin, Ballincollig",Cork,180000,second-hand,1-38 m2,Ballincollig
2011-07-13,"136 An Caislean, Ballincollig",Cork,231000,second-hand,1-38 m2,Ballincollig
2011-07-20,"41 Wyndham Downs, Ballincollig",Cork,202000,second-hand,1-38 m2,Ballincollig
2011-07-22,"10 An Caislean, Ballincollig",Cork,162000,second-hand,1-38 m2,Ballincollig
2011-07-22,"7 Daffodil Fields, Ballincollig",Cork,305000,second-hand,1-38 m2,Ballincollig
2011-08-15,"82 Manor Hill, Ballincollig, Cork",Cork,237000,second-hand,1-38 m2,Ballincollig
2011-08-16,"101 Leslie'S Arch, Old Quarter, Ballincollig",Cork,200000,second-hand,1-38 m2,Ballincollig
2011-08-19,"Ballincolie Road, Ballyvolane, Cork",Cork,107500,second-hand,1-38 m2,Ballincollig
2011-08-22,"38 Old Court, Greenfields, Ballincollig",Cork,264500,second-hand,1-38 m2,Ballincollig
2011-08-24,"Carrigrohane House, Carrigrohane, Cork",Cork,1726844,second-hand,1-38 m2,Ballincollig
2011-08-30,"Maglin, Ballincollig",Cork,166000,second-hand,1-38 m2,Ballincollig
2011-08-31,"18 Aisling Close, Ballincollig",Cork,202000,second-hand,1-38 m2,Ballincollig
2011-09-08,"Glenbrook, Poulavone, Ballincollig",Cork,60000,second-hand,1-38 m2,Ballincollig
2011-09-09,"17 Highfield Park, Ballincollig, County Cork",Cork,215000,second-hand,1-38 m2,Ballincollig
2011-09-15,"56 Carriganarra, Ballincollig",Cork,175000,second-hand,1-38 m2,Ballincollig
2011-09-19,"39 The Close, Coolroe Meadows, Ballincollig",Cork,242000,second-hand,1-38 m2,Ballincollig
2011-09-30,"31 Fernwalk, Greenfields, Ballincollig",Cork,525000,second-hand,1-38 m2,Ballincollig
2011-10-04,"4  Westgrove, Ballincollig, Cork",Cork,220000,second-hand,1-38 m2,Ballincollig
2011-10-10,"18  Bridgewater, Carrigrohane, Co. Cork",Cork,410000,second-hand,1-38 m2,Ballincollig
2011-10-21,"15 Castleknock, Ballincollig",Cork,183000,second-hand,1-38 m2,Ballincollig
2011-10-26,"41  Manor Hill, Ballincollig",Cork,265000,second-hand,1-38 m2,Ballincollig
2011-11-04,"66 Oldcourt, Greenfields Kilumney Rd, Ballincollig",Cork,260000,second-hand,1-38 m2,Ballincollig
2011-11-04,"86 Leslie'S Arch, Old Quarter, Ballincollig",Cork,227500,second-hand,1-38 m2,Ballincollig
2011-11-15,"18 Barley Grove, The Maltings, Ballincollig",Cork,164000,second-hand,1-38 m2,Ballincollig
2011-11-16,"24 Carriganarra, Ballincollig, Co. Cork",Cork,105190,second-hand,1-38 m2,Ballincollig
2011-11-17,"1 Cleburne Mews, Ballincollig",Cork,155668,new,38-125 m2,Ballincollig
2011-11-17,"10 Cleburne Mews, Old Quarter, Ballincollig",Cork,155668,new,38-125 m2,Ballincollig
2011-11-17,"11 Cleburne Mews, Old Quarter, Ballincollig",Cork,145495,new,38-125 m2,Ballincollig
2011-11-17,"12 Cleburne Mews, Old Quarter, Ballincollig",Cork,144955,new,38-125 m2,Ballincollig
2011-11-17,"13 Cleburne Mews, Old Quarter, Ballincollig",Cork,156180,new,38-125 m2,Ballincollig
2011-11-17,"14 Cleburne Mews, Old Quarter, Ballincollig",Cork,155640,new,38-125 m2,Ballincollig
2011-11-17,"15 Cleburne Mews, Old Quarter, Ballincollig",Cork,155640,new,38-125 m2,Ballincollig
2011-11-17,"2 Cleburne Mews, Old Quarter, Ballincollig",Cork,144955,new,38-125 m2,Ballincollig
2011-11-17,"3 Cleburne Mews, Old Quarter, Ballincollig",Cork,145495,new,38-125 m2,Ballincollig
2011-11-17,"4 Cleburne Mews, Old Quarter, Ballincollig",Cork,156180,new,38-125 m2,Ballincollig
2011-11-17,"5 Cleburne Mews, Old Quarter, Ballincollig",Cork,156180,new,38-125 m2,Ballincollig
2011-11-17,"6 Cleburne Mews, Old Quarter, Ballincollig",Cork,145495,new,38-125 m2,Ballincollig
2011-11-17,"7 Cleburne Mews, Old Quarter, Ballincollig",Cork,145495,new,38-125 m2,Ballincollig
2011-11-17,"8 Cleburne Mews, Old Quarter, Ballincollig",Cork,145495,new,38-125 m2,Ballincollig
2011-11-17,"9 Cleburne Mews, Old Quarter, Ballincollig",Cork,155640,new,38-125 m2,Ballincollig
2011-11-23,"1 Leemount, Carrigrohane, Co. Cork",Cork,105000,second-hand,1-38 m2,Ballincollig
2011-11-23,"62  Lisheen Fields, Ballincollig, Cork",Cork,265616,new,125-1000 m2,Ballincollig
2011-11-28,"22 Woodbine Lawn, Inniscarra View, Ballincollig",Cork,195000,second-hand,1-38 m2,Ballincollig
2011-11-29,"26 Castle Avenue, Muskerry Estate, Ballincollig",Cork,140000,second-hand,1-38 m2,Ballincollig
2011-11-30,"22 An Caislean, Ballincollig",Cork,172500,second-hand,1-38 m2,Ballincollig
2011-11-30,"24 Westcourt, Ballincollig, Cork",Cork,157500,second-hand,1-38 m2,Ballincollig
2011-12-06,"94 Manor Hill, Ballincollig",Cork,245000,second-hand,1-38 m2,Ballincollig
2011-12-09,"36  Cranford Pines, Ballincollig, Co. Cork",Cork,171000,second-hand,1-38 m2,Ballincollig
2011-12-12,"5 The Stables, Coolroe, Ballincollig",Cork,214000,second-hand,1-38 m2,Ballincollig
2011-12-13,"4 Citi West Mews, Ballincollig",Cork,150000,second-hand,1-38 m2,Ballincollig
2011-12-15,"10 The Green, Coolroe Meadows, Ballincollig",Cork,205000,second-hand,1-38 m2,Ballincollig
2011-12-21,"13 Island Way, Muskerry Estate, Ballincollig",Cork,203000,second-hand,1-38 m2,Ballincollig
2011-12-23,"1 Maglin Circle, Maglin, Ballincollig",Cork,197500,second-hand,1-38 m2,Ballincollig
2012-01-04,"175 Rosewood, Ballincollig",Cork,137500,second-hand,1-38 m2,Ballincollig
2012-01-04,"No. 22 Avon Court, Ballincollig",Cork,178500,second-hand,1-38 m2,Ballincollig
2012-01-27,"60 Westcourt Heights, Ballincollig, Co. Cork",Cork,195000,second-hand,1-38 m2,Ballincollig
2012-01-30,"80 Westcourt, Ballincollig",Cork,145000,second-hand,1-38 m2,Ballincollig
2012-02-09,"12 The Meadows, West Village, Ballincollig",Cork,147000,second-hand,1-38 m2,Ballincollig
2012-02-10,"123  157 And 157 The Quadrants, Ballincollig",Cork,495000,second-hand,1-38 m2,Ballincollig
2012-02-20,"11 Ivy Circle, Muskerry Estate, Ballincollig",Cork,50235,second-hand,1-38 m2,Ballincollig
2012-02-23,"1  Daffodil Fields, Ballincollig",Cork,328000,second-hand,1-38 m2,Ballincollig
2012-02-27,"23  Fernwalk, Greenfields, Ballincollig",Cork,415000,second-hand,1-38 m2,Ballincollig
2012-02-27,"91 The Green, Ballincollig",Cork,220000,second-hand,1-38 m2,Ballincollig
2012-02-28,"122 An Caislean Way, An Caislean, Ballincollig",Cork,192500,second-hand,1-38 m2,Ballincollig
2012-03-15,"64 Woodberry, Greenfields, Ballincollig",Cork,342500,second-hand,1-38 m2,Ballincollig
2012-03-16,"1 Cranford Grove, Ballincollig",Cork,125000,second-hand,1-38 m2,Ballincollig
2012-03-27,"220 Rosewood, Ballincollig",Cork,183000,second-hand,1-38 m2,Ballincollig
2012-03-28,"Castleview, Greenfields, Ballincollig",Cork,186000,second-hand,1-38 m2,Ballincollig
2012-04-05,"43 Cherry Walk, Muskerry Estate, Ballincollig",Cork,145000,second-hand,1-38 m2,Ballincollig
2012-04-06,"9 The Avenue, Coolroe Heights, Ballincollig",Cork,200000,second-hand,1-38 m2,Ballincollig
2012-04-19,"9A Prospect Lawn, Ballincollig",Cork,303964,new,38-125 m2,Ballincollig
2012-04-24,"21  Parknamore Rise, Ballincollig",Cork,84700,second-hand,1-38 m2,Ballincollig
2012-04-26,"32 Lisheen Fields, Ballincollig, Ovens",Cork,222907,new,125-1000 m2,Ballincollig
2012-04-27,"7 The Sycamores, Classes Lake, Ballincollig",Cork,145000,second-hand,1-38 m2,Ballincollig
2012-05-02,"22 Longrange, Powdermills, Ballincollig",Cork,110000,second-hand,1-38 m2,Ballincollig
2012-05-02,"79 The Green, Coolroe Meadows, Ballincollig",Cork,198000,second-hand,1-38 m2,Ballincollig
2012-05-02,"8 Aylsbury Court, Ballincollig",Cork,290000,second-hand,1-38 m2,Ballincollig
2012-05-04,"16 Leeview, Ballincollig",Cork,60000,second-hand,1-38 m2,Ballincollig
2012-05-11,"21 Longrange, Powdermills, Ballincollig",Cork,92000,second-hand,1-38 m2,Ballincollig
2012-05-11,"86 The Cloisters, Ballincollig, Cork",Cork,162500,second-hand,1-38 m2,Ballincollig
2012-05-14,"28 The Close, Coolroe Meadows, Ballincollig",Cork,215000,second-hand,1-38 m2,Ballincollig
2012-05-21,"47 Carriganarra, Ballincollig",Cork,135000,second-hand,1-38 m2,Ballincollig
2012-05-25,"28 The Lawn, Coolroe Meadows, Ballincollig",Cork,199000,second-hand,1-38 m2,Ballincollig
2012-05-30,"9 Wyndham Downs, Ballincollig",Cork,233000,second-hand,1-38 m2,Ballincollig
2012-05-31,"41 Carriganarra, Ballincollig",Cork,179000,second-hand,1-38 m2,Ballincollig
2012-06-01,"18 Fernway, Classes Lake, Ballincollig",Cork,125000,second-hand,1-38 m2,Ballincollig
2012-06-05,"37 Fernwalk, Greenfields, Ballincollig",Cork,425000,second-hand,1-38 m2,Ballincollig
2012-06-15,"61 Beech Road, Muskerry Estate, Ballincollig",Cork,170000,second-hand,1-38 m2,Ballincollig
2012-06-15,"No. 2 Ivy Circle, Muskerry Estate, Ballincollig",Cork,158000,second-hand,1-38 m2,Ballincollig
2012-06-20,"12 Aisling Close, Ballincollig",Cork,205000,second-hand,1-38 m2,Ballincollig
2012-06-20,"68  An Caislean, Ballincollig, Co. Cork",Cork,147000,second-hand,1-38 m2,Ballincollig
2012-06-22,"55 Fernwalk, Greenfields, Ballincollig",Cork,378000,second-hand,1-38 m2,Ballincollig
2012-06-26,"21 Glincool Gardens, Ballincollig",Cork,183000,second-hand,1-38 m2,Ballincollig
2012-06-27,"No. 50 An Caislean, Ballincollig, County Cork",Cork,170000,second-hand,1-38 m2,Ballincollig
2012-06-29,"26 Barley Grove, The Maltings, Ballincollig",Cork,157000,second-hand,1-38 m2,Ballincollig
2012-07-03,"No. 94 The Green, Coolroe Meadows, Ballincollig",Cork,243000,second-hand,1-38 m2,Ballincollig
2012-07-06,"9B Prospect Lawn, Ballincollig",Cork,323788,new,38-125 m2,Ballincollig
2012-07-12,"20 Block B Old Quarry & Carspace 20, Coolroe, Ballincollig",Cork,127500,second-hand,1-38 m2,Ballincollig
2012-07-17,"85  An Caislean Grove, Ballincollig, Cirk",Cork,175000,second-hand,1-38 m2,Ballincollig
2012-07-19,"9 Coolroe Meadows, Ballincollig",Cork,92500,second-hand,1-38 m2,Ballincollig
2012-07-24,"11 Glincool Crescent, Ballincollig",Cork,172500,second-hand,1-38 m2,Ballincollig
2012-07-25,"4 Millers Court, Old Quarter, Ballincollig",Cork,225000,second-hand,1-38 m2,Ballincollig
2012-07-27,"8 Aisling Close, Ballincollig, Cork",Cork,204000,second-hand,1-38 m2,Ballincollig
2012-07-30,"Healy'S Bridge, Carrigrohane, Co Cork",Cork,190000,second-hand,1-38 m2,Ballincollig
2012-07-31,"18  Daffodil Fields, Ballincollig, Cork",Cork,300000,second-hand,1-38 m2,Ballincollig
2012-08-02,"Healy'S Bridge, Carrigrohane, Cork",Cork,250000,second-hand,1-38 m2,Ballincollig
2012-08-15,"63  Wyndham Downs, Ballincollig",Cork,205000,second-hand,1-38 m2,Ballincollig
2012-08-17,"73 Maple Lawn, Ballincollig",Cork,205000,second-hand,1-38 m2,Ballincollig
2012-08-24,"69  Castlepark, Ballincollig, Co. Cork",Cork,75000,second-hand,1-38 m2,Ballincollig
2012-08-27,"106 Shamrock Drive, Muskerry Estate, Ballincollig",Cork,100000,second-hand,1-38 m2,Ballincollig
2012-09-03,"124  Leslie'S Arch, Old Quarter, Ballincollig",Cork,125000,second-hand,1-38 m2,Ballincollig
2012-09-05,"14 An Caislean Close, Ballincollig, Co.Cork",Cork,151500,second-hand,1-38 m2,Ballincollig
2012-09-07,"3 Ivy Circle, Muskerry Estate, Ballincollig",Cork,165000,second-hand,1-38 m2,Ballincollig
2012-09-07,"31 Limeworth, Ballincollig",Cork,510000,new,125-1000 m2,Ballincollig
2012-09-17,"3 The Crescent, Highfield Park, Carrigrohane  Ballincollig",Cork,194714,new,38-125 m2,Ballincollig
2012-09-20,"51 Maple Lawn, Muskerry Estate, Ballincollig",Cork,160000,second-hand,1-38 m2,Ballincollig
2012-09-25,"36 Church View, Ballincollig",Cork,85000,second-hand,1-38 m2,Ballincollig
2012-10-02,"19 The Stables, Coolroe, Ballincollig",Cork,100000,second-hand,1-38 m2,Ballincollig
2012-10-02,"46 An Caislean Drive, Ballincollig",Cork,162000,second-hand,1-38 m2,Ballincollig
2012-10-03,"14 Citi West Mews, Ballincollig, Co Cork",Cork,132700,second-hand,1-38 m2,Ballincollig
2012-10-05,"5 The Crescent, Old Fort Road, Ballincollig",Cork,120000,second-hand,1-38 m2,Ballincollig
2012-10-07,"Healys Bridge, Carrigrohane",Cork,80000,second-hand,1-38 m2,Ballincollig
2012-10-08,"48 Coopers Grange, Old Quarter, Ballincollig",Cork,130000,second-hand,1-38 m2,Ballincollig
2012-10-12,"Mardel House, Carrigrohane, Cork",Cork,435000,second-hand,1-38 m2,Ballincollig
2012-10-23,"14 The Green, Coolroe Meadows, Ballincollig",Cork,220000,second-hand,1-38 m2,Ballincollig
2012-10-24,"123  Leslies Arch, Old Quarter, Ballincollig",Cork,97000,second-hand,1-38 m2,Ballincollig
2012-10-25,"16 Leeview, Ballincollig, Co. Cork",Cork,148000,second-hand,1-38 m2,Ballincollig
2012-10-30,"50 Westcourt Heights, Ballincollig, Co Cork",Cork,170000,second-hand,1-38 m2,Ballincollig
2012-10-31,"20 Manor Hill, Ballincollig, Co Cork",Cork,183500,second-hand,1-38 m2,Ballincollig
2012-10-31,"3 Westcourt, Ballincollig",Cork,117500,second-hand,1-38 m2,Ballincollig
2012-11-06,"44A West Court Heights, Ballincollig",Cork,115000,second-hand,1-38 m2,Ballincollig
2012-11-07,"117 An Caislean, Ballincollig, County Cork",Cork,140000,second-hand,1-38 m2,Ballincollig
2012-11-08,"10 Riverscourt, Fionn Laoi, Ballincollig",Cork,26432,new,38-125 m2,Ballincollig
