island,date,advert_type,properties_total,avg_price_per_meter
Lanzarote,2020-10-20 07:47:00.049928+00:00,rent,37,9
Mallorca,2020-10-20 08:36:00.065797+00:00,rent,1583,12
Tenerife,2020-10-21 01:54:00.081520+00:00,sale,620,1562
Gran Canaria,2020-10-21 02:38:00.066353+00:00,sale,268,1390
Lanzarote,2020-10-21 03:47:00.041170+00:00,sale,583,1589
Mallorca,2020-10-21 04:36:00.081466+00:00,sale,914,1798
Tenerife,2020-10-21 05:52:00.071860+00:00,rent,730,9
Gran Canaria,2020-10-21 06:38:00.053876+00:00,rent,98,9
Lanzarote,2020-10-21 07:47:00.056751+00:00,rent,40,9
Mallorca,2020-10-21 08:36:00.058478+00:00,rent,1660,12
Tenerife,2020-10-22 01:54:00.076811+00:00,sale,626,1563
Gran Canaria,2020-10-22 02:38:00.046246+00:00,sale,272,1392
Lanzarote,2020-10-22 03:47:00.046826+00:00,sale,595,1586
Mallorca,2020-10-22 04:36:00.058231+00:00,sale,935,1796
Tenerife,2020-10-22 05:52:00.056654+00:00,rent,752,9
Gran Canaria,2020-10-22 06:38:00.057264+00:00,rent,128,9
Mallorca,2020-10-22 08:36:00.063940+00:00,rent,1751,12
Tenerife,2020-10-23 01:54:00.078770+00:00,sale,633,1560
Gran Canaria,2020-10-23 02:38:00.054252+00:00,sale,274,1392
Lanzarote,2020-10-23 03:47:00.052867+00:00,sale,605,1594
Mallorca,2020-10-23 04:36:00.060590+00:00,sale,956,1799
Tenerife,2020-10-23 05:52:00.056258+00:00,rent,789,9
Gran Canaria,2020-10-23 06:38:00.055709+00:00,rent,152,9
Mallorca,2020-10-23 08:36:00.057950+00:00,rent,1847,11
Tenerife,2020-10-24 01:54:00.071038+00:00,sale,641,1559
Gran Canaria,2020-10-24 02:38:00.040789+00:00,sale,276,1396
Lanzarote,2020-10-24 03:47:00.060958+00:00,sale,612,1592
Mallorca,2020-10-24 04:36:00.067373+00:00,sale,967,1800
Tenerife,2020-10-24 05:52:00.062468+00:00,rent,820,9
Gran Canaria,2020-10-24 06:38:00.056082+00:00,rent,180,9
Lanzarote,2020-10-24 07:47:00.058304+00:00,rent,41,9
Mallorca,2020-10-24 08:36:00.064049+00:00,rent,1905,11
Tenerife,2020-10-25 01:54:00.133103+00:00,sale,648,1556
Gran Canaria,2020-10-25 02:38:00.084716+00:00,sale,272,1408
Lanzarote,2020-10-25 03:47:00.094950+00:00,sale,662,1608
Mallorca,2020-10-25 04:36:00.063829+00:00,sale,949,1787
Tenerife,2020-10-25 05:52:00.054313+00:00,rent,852,9
Gran Canaria,2020-10-25 06:38:00.050205+00:00,rent,170,9
Lanzarote,2020-10-25 07:47:00.063421+00:00,rent,46,9
Mallorca,2020-10-25 08:36:00.072365+00:00,rent,1848,11
Tenerife,2020-10-26 01:54:00.078121+00:00,sale,648,1558
Gran Canaria,2020-10-26 02:38:00.060297+00:00,sale,272,1391
Lanzarote,2020-10-26 03:47:00.059796+00:00,sale,636,1577
Mallorca,2020-10-26 04:36:00.070738+00:00,sale,961,1790
Tenerife,2020-10-26 05:52:00.069655+00:00,rent,799,9
Gran Canaria,2020-10-26 06:38:00.072049+00:00,rent,161,9
Lanzarote,2020-10-26 07:47:00.064033+00:00,rent,44,9
Mallorca,2020-10-26 08:36:00.074283+00:00,rent,1876,11
Tenerife,2020-10-27 01:54:00.075638+00:00,sale,650,1559
Gran Canaria,2020-10-27 02:38:00.053771+00:00,sale,275,1393
Lanzarote,2020-10-27 03:47:00.036658+00:00,sale,643,1577
Mallorca,2020-10-27 04:36:00.065558+00:00,sale,981,1794
Tenerife,2020-10-27 05:52:00.060815+00:00,rent,838,9
Gran Canaria,2020-10-27 06:38:00.057180+00:00,rent,190,9
Mallorca,2020-10-27 08:36:00.067370+00:00,rent,1988,11
Tenerife,2020-10-28 01:54:00.082215+00:00,sale,671,1548
Gran Canaria,2020-10-28 02:38:00.051220+00:00,sale,282,1392
Lanzarote,2020-10-28 03:47:00.057216+00:00,sale,651,1578
Mallorca,2020-10-28 04:36:00.069164+00:00,sale,999,1793
Tenerife,2020-10-28 05:52:00.073481+00:00,rent,891,9
Gran Canaria,2020-10-28 06:38:00.054317+00:00,rent,217,9
Lanzarote,2020-10-28 07:47:00.071744+00:00,rent,47,9
Mallorca,2020-10-28 08:36:00.061597+00:00,rent,2074,11
Tenerife,2020-10-29 01:54:00.075469+00:00,sale,676,1550
Gran Canaria,2020-10-29 02:38:00.048596+00:00,sale,287,1384
Lanzarote,2020-10-29 03:47:00.052159+00:00,sale,662,1581
Mallorca,2020-10-29 04:36:00.076424+00:00,sale,1021,1796
Tenerife,2020-10-29 05:52:00.061276+00:00,rent,917,9
Gran Canaria,2020-10-29 06:38:00.056045+00:00,rent,243,9
Lanzarote,2020-10-29 07:47:00.055423+00:00,rent,48,9
Mallorca,2020-10-29 08:36:00.057504+00:00,rent,2152,11
Tenerife,2020-10-30 01:54:00.083364+00:00,sale,682,1551
Gran Canaria,2020-10-30 02:38:00.051607+00:00,sale,298,1388
Lanzarote,2020-10-30 03:47:00.050179+00:00,sale,676,1579
Mallorca,2020-10-30 04:36:00.081190+00:00,sale,1026,1794
Tenerife,2020-10-30 05:52:00.057410+00:00,rent,944,9
Gran Canaria,2020-10-30 06:38:00.062037+00:00,rent,271,9
Lanzarote,2020-10-30 07:47:00.043831+00:00,rent,54,9
Mallorca,2020-10-30 08:36:00.069692+00:00,rent,2236,11
Tenerife,2020-10-31 01:54:00.090618+00:00,sale,687,1552
Gran Canaria,2020-10-31 02:38:00.051440+00:00,sale,301,1388
Lanzarote,2020-10-31 03:47:00.058995+00:00,sale,687,1578
Mallorca,2020-10-31 04:36:00.077882+00:00,sale,1042,1793
Tenerife,2020-10-31 05:52:00.063583+00:00,rent,982,9
Gran Canaria,2020-10-31 06:38:00.059306+00:00,rent,299,9
Lanzarote,2020-10-31 07:47:00.058569+00:00,rent,55,9
Mallorca,2020-10-31 08:36:00.066927+00:00,rent,2299,11
Tenerife,2020-11-01 01:54:00.079244+00:00,sale,706,1553
Lanzarote,2020-11-01 03:47:00.053252+00:00,sale,697,1573
Mallorca,2020-11-01 04:36:00.085556+00:00,sale,1049,1793
Tenerife,2020-11-01 05:52:00.059472+00:00,rent,1001,9
Gran Canaria,2020-11-01 06:38:00.051390+00:00,rent,319,9
Mallorca,2020-11-01 08:36:00.067147+00:00,rent,2320,11
Tenerife,2020-11-02 01:54:00.069304+00:00,sale,712,1553
Gran Canaria,2020-11-02 02:38:00.052296+00:00,sale,309,1386
Lanzarote,2020-11-02 03:47:00.051777+00:00,sale,698,1573
Mallorca,2020-11-02 04:36:00.071858+00:00,sale,1057,1792
Tenerife,2020-11-02 05:52:00.051429+00:00,rent,1010,9
Gran Canaria,2020-11-02 06:38:00.062678+00:00,rent,329,9
Lanzarote,2020-11-02 07:47:00.052892+00:00,rent,56,9
Mallorca,2020-11-02 08:36:00.059870+00:00,rent,2336,11
Tenerife,2020-11-03 01:54:00.075944+00:00,sale,715,1554
Gran Canaria,2020-11-03 02:38:00.052824+00:00,sale,310,1381
Lanzarote,2020-11-03 03:47:00.050359+00:00,sale,709,1577
Mallorca,2020-11-03 04:36:00.067581+00:00,sale,1083,1798
Tenerife,2020-11-03 05:52:00.062350+00:00,rent,1044,9
Gran Canaria,2020-11-03 06:38:00.057123+00:00,rent,357,9
Lanzarote,2020-11-03 07:47:00.053630+00:00,rent,58,9
Mallorca,2020-11-03 08:36:00.058433+00:00,rent,2403,11
Tenerife,2020-11-04 01:54:00.088591+00:00,sale,726,1552
Gran Canaria,2020-11-04 02:38:00.061019+00:00,sale,316,1375
Lanzarote,2020-11-04 03:47:00.050766+00:00,sale,726,1572
Mallorca,2020-11-04 04:36:00.077164+00:00,sale,1103,1800
Tenerife,2020-11-04 05:52:00.074782+00:00,rent,1082,9
Gran Canaria,2020-11-04 06:38:00.050641+00:00,rent,386,9
Mallorca,2020-11-04 08:36:00.245239+00:00,rent,2482,11
Gran Canaria,2020-11-05 02:38:00.066322+00:00,sale,319,1378
Lanzarote,2020-11-05 03:47:00.069270+00:00,sale,733,1573
Mallorca,2020-11-05 04:36:00.093695+00:00,sale,1119,1802
Tenerife,2020-11-05 05:52:00.094944+00:00,rent,1116,9
Gran Canaria,2020-11-05 06:38:00.055642+00:00,rent,414,9
Lanzarote,2020-11-05 07:47:00.058306+00:00,rent,60,8
Mallorca,2020-11-05 08:36:00.070654+00:00,rent,2566,11
Tenerife,2020-11-06 01:54:00.091266+00:00,sale,732,1553
Gran Canaria,2020-11-06 02:38:00.042698+00:00,sale,327,1381
Lanzarote,2020-11-06 03:47:00.077879+00:00,sale,742,1571
Mallorca,2020-11-06 04:36:00.088019+00:00,sale,1140,1804
Tenerife,2020-11-06 05:52:00.065357+00:00,rent,1139,9
Gran Canaria,2020-11-06 06:38:00.072647+00:00,rent,437,9
Lanzarote,2020-11-06 07:47:00.067658+00:00,rent,64,8
Mallorca,2020-11-06 08:36:00.102353+00:00,rent,2646,11
Tenerife,2020-11-07 01:54:00.104184+00:00,sale,736,1552
Gran Canaria,2020-11-07 02:38:00.070711+00:00,sale,335,1389
Lanzarote,2020-11-07 03:47:00.052401+00:00,sale,748,1570
Mallorca,2020-11-07 04:36:00.077140+00:00,sale,1163,1805
Tenerife,2020-11-07 05:52:00.055598+00:00,rent,1165,9
Gran Canaria,2020-11-07 06:38:00.065718+00:00,rent,464,9
Lanzarote,2020-11-07 07:47:00.062858+00:00,rent,66,8
Mallorca,2020-11-07 08:36:00.067028+00:00,rent,2739,11
Tenerife,2020-11-08 01:54:00.081538+00:00,sale,737,1553
Gran Canaria,2020-11-08 02:38:00.085277+00:00,sale,338,1393
Lanzarote,2020-11-08 03:47:00.072977+00:00,sale,749,1571
Mallorca,2020-11-08 04:36:00.076289+00:00,sale,1168,1807
Tenerife,2020-11-08 05:52:00.069736+00:00,rent,1180,9
Gran Canaria,2020-11-08 06:38:00.056392+00:00,rent,471,9
Mallorca,2020-11-08 08:36:00.196581+00:00,rent,2759,11
Tenerife,2020-11-09 01:54:00.110529+00:00,sale,740,1554
Gran Canaria,2020-11-09 02:38:00.062542+00:00,sale,339,1393
Lanzarote,2020-11-09 03:47:00.062368+00:00,sale,752,1570
Mallorca,2020-11-09 04:36:00.124615+00:00,sale,1174,1804
Tenerife,2020-11-09 05:52:00.066120+00:00,rent,1190,9
Gran Canaria,2020-11-09 06:38:00.059510+00:00,rent,485,9
Lanzarote,2020-11-09 07:47:00.075507+00:00,rent,69,8
Mallorca,2020-11-09 08:36:00.064918+00:00,rent,2776,11
Tenerife,2020-11-10 01:54:00.101662+00:00,sale,744,1557
Gran Canaria,2020-11-10 02:38:00.061598+00:00,sale,348,1397
Lanzarote,2020-11-10 03:47:00.083735+00:00,sale,761,1568
Mallorca,2020-11-10 04:36:00.104600+00:00,sale,1191,1805
Tenerife,2020-11-10 05:52:00.092422+00:00,rent,1224,9
Gran Canaria,2020-11-10 06:38:00.092655+00:00,rent,514,9
Lanzarote,2020-11-10 07:47:00.087846+00:00,rent,73,8
Mallorca,2020-11-10 08:36:00.077718+00:00,rent,2860,11
Tenerife,2020-11-11 01:54:00.110175+00:00,sale,773,1556
Gran Canaria,2020-11-11 02:38:00.063272+00:00,sale,353,1400
Lanzarote,2020-11-11 03:47:00.086794+00:00,sale,771,1569
Mallorca,2020-11-11 04:36:00.072294+00:00,sale,1205,1807
Tenerife,2020-11-11 05:52:00.135842+00:00,rent,1257,9
Gran Canaria,2020-11-11 06:38:00.089683+00:00,rent,544,9
Lanzarote,2020-11-11 07:47:00.060031+00:00,rent,75,8
Mallorca,2020-11-11 08:36:00.092103+00:00,rent,2939,11
Tenerife,2020-11-12 01:54:00.104017+00:00,sale,778,1559
Gran Canaria,2020-11-12 02:38:00.062062+00:00,sale,355,1402
Lanzarote,2020-11-12 03:47:00.085280+00:00,sale,780,1566
Mallorca,2020-11-12 04:36:00.103290+00:00,sale,1230,1809
Tenerife,2020-11-12 05:52:00.078848+00:00,rent,1289,9
Gran Canaria,2020-11-12 06:38:00.078074+00:00,rent,573,9
Lanzarote,2020-11-12 07:47:00.061089+00:00,rent,77,8
Mallorca,2020-11-12 08:36:00.097749+00:00,rent,3011,11
Tenerife,2020-11-13 01:54:00.081469+00:00,sale,782,1562
Gran Canaria,2020-11-13 02:38:00.055992+00:00,sale,361,1413
Lanzarote,2020-11-13 03:47:00.092217+00:00,sale,795,1565
Mallorca,2020-11-13 04:36:00.082208+00:00,sale,1262,1802
Tenerife,2020-11-13 05:52:00.051637+00:00,rent,1322,9
Gran Canaria,2020-11-13 06:38:00.073092+00:00,rent,603,9
Lanzarote,2020-11-13 07:47:00.089558+00:00,rent,78,8
Mallorca,2020-11-13 08:36:00.068729+00:00,rent,3073,11
Tenerife,2020-11-14 01:54:00.122780+00:00,sale,789,1560
Gran Canaria,2020-11-14 02:38:00.056347+00:00,sale,364,1413
Lanzarote,2020-11-14 03:47:00.072017+00:00,sale,800,1566
Mallorca,2020-11-14 04:36:00.119464+00:00,sale,1281,1802
Tenerife,2020-11-14 05:52:00.093668+00:00,rent,1356,9
Gran Canaria,2020-11-14 06:38:00.102157+00:00,rent,632,9
Lanzarote,2020-11-14 07:47:00.159532+00:00,rent,79,8
Mallorca,2020-11-14 08:36:00.076200+00:00,rent,3170,11
Tenerife,2020-11-15 01:54:00.083595+00:00,sale,790,1560
Gran Canaria,2020-11-15 02:38:00.054526+00:00,sale,366,1416
Lanzarote,2020-11-15 03:47:00.077375+00:00,sale,802,1567
Mallorca,2020-11-15 04:36:00.081885+00:00,sale,1286,1803
Tenerife,2020-11-15 05:52:00.072117+00:00,rent,1370,9
Gran Canaria,2020-11-15 06:38:00.054879+00:00,rent,648,9
Lanzarote,2020-11-15 07:47:00.050813+00:00,rent,80,8
Mallorca,2020-11-15 08:36:00.075411+00:00,rent,3193,11
Tenerife,2020-11-16 01:54:00.078560+00:00,sale,791,1560
Gran Canaria,2020-11-16 02:38:00.060771+00:00,sale,371,1417
Lanzarote,2020-11-16 03:47:00.067007+00:00,sale,803,1566
Mallorca,2020-11-16 04:36:00.087062+00:00,sale,1301,1801
Tenerife,2020-11-16 05:52:00.073070+00:00,rent,1379,9
Gran Canaria,2020-11-16 06:38:00.076528+00:00,rent,655,9
Lanzarote,2020-11-16 07:47:00.081988+00:00,rent,83,8
Mallorca,2020-11-16 08:36:00.087479+00:00,rent,3210,11
Tenerife,2020-11-17 01:54:00.080696+00:00,sale,794,1558
Gran Canaria,2020-11-17 02:38:00.073902+00:00,sale,382,1411
Lanzarote,2020-11-17 03:47:00.066932+00:00,sale,814,1568
Mallorca,2020-11-17 04:36:00.080062+00:00,sale,1314,1800
Tenerife,2020-11-17 05:52:00.107001+00:00,rent,1409,9
Gran Canaria,2020-11-17 06:38:00.060620+00:00,rent,684,9
Lanzarote,2020-11-17 07:47:00.049979+00:00,rent,86,8
Mallorca,2020-11-17 08:36:00.068708+00:00,rent,3258,11
Tenerife,2020-11-18 01:54:00.097839+00:00,sale,809,1562
Gran Canaria,2020-11-18 02:38:00.053146+00:00,sale,385,1412
Lanzarote,2020-11-18 03:47:00.055245+00:00,sale,823,1567
Mallorca,2020-11-18 04:36:00.071123+00:00,sale,1335,1804
Tenerife,2020-11-18 05:52:00.061006+00:00,rent,1442,9
Gran Canaria,2020-11-18 06:38:00.096457+00:00,rent,710,9
Lanzarote,2020-11-18 07:47:00.099212+00:00,rent,95,8
Mallorca,2020-11-18 08:36:00.081423+00:00,rent,3308,11
Mallorca,2020-11-20 01:23:00.221930+00:00,rent,3378,11
Tenerife,2020-11-20 03:17:31.124222+00:00,sale,829,1567
Tenerife,2020-11-20 03:24:48.864185+00:00,sale,838,1566
Gran Canaria,2020-11-20 03:29:11.960372+00:00,sale,386,1412
Lanzarote,2020-11-20 03:47:00.137882+00:00,sale,830,1566
Mallorca,2020-11-20 04:36:00.092235+00:00,sale,1358,1807
Tenerife,2020-11-20 05:52:00.102559+00:00,rent,1500,9
Gran Canaria,2020-11-20 06:38:00.102772+00:00,rent,740,9
Lanzarote,2020-11-20 07:47:00.077638+00:00,rent,97,8
Mallorca,2020-11-20 08:36:00.219610+00:00,rent,3384,11
Tenerife,2020-11-21 01:54:00.081000+00:00,sale,839,1566
Gran Canaria,2020-11-21 02:38:00.081837+00:00,sale,389,1413
Lanzarote,2020-11-21 03:47:00.065447+00:00,sale,833,1566
Mallorca,2020-11-21 04:36:00.068042+00:00,sale,1370,1807
Tenerife,2020-11-21 05:52:00.121303+00:00,rent,1536,9
Gran Canaria,2020-11-21 06:38:00.083354+00:00,rent,769,9
Lanzarote,2020-11-21 07:47:00.075992+00:00,rent,98,8
Mallorca,2020-11-21 08:36:00.065730+00:00,rent,3434,11
Tenerife,2020-11-22 01:54:00.080632+00:00,sale,841,1567
Mallorca,2020-11-22 04:36:00.073836+00:00,sale,1377,1806
Tenerife,2020-11-22 05:52:00.087351+00:00,rent,1539,9
Gran Canaria,2020-11-22 06:38:00.086585+00:00,rent,773,9
Mallorca,2020-11-22 08:36:00.081751+00:00,rent,3445,11
